train_step,accumulation,average_variance,min_grad,max_grad,mean_grad,std_grad,batch_size
0,0,0.05360350385308266,-16.0,15.4609375,0.000013982795280753635,0.20153184235095978,87.5 sec
5000,0,0.008167855441570282,-1.4345703125,1.78515625,4.316356807976263e-6,0.015226680785417557,87.5 sec
10000,0,0.0037925296928733587,-1.2958984375,1.169921875,7.794082534928748e-8,0.008927065879106522,87.5 sec
15000,0,0.1323348879814148,-45.564945220947266,36.89348602294922,-0.0016971697332337499,0.42100033164024353,87.5 sec
20000,0,0.1541908234357834,-59.8371467590332,46.72665786743164,0.0017695274436846375,0.49900707602500916,87.5 sec
25000,0,0.16279137134552002,-47.72415542602539,46.42245101928711,-0.00009178257460007444,0.451265424489975,87.5 sec
30000,0,0.18341511487960815,-54.730995178222656,55.62813186645508,0.0016317196423187852,0.5040766000747681,87.5 sec
35000,0,0.18680565059185028,-48.093875885009766,47.640262603759766,0.0007231569616124034,0.49135497212409973,87.5 sec
40000,0,0.20460331439971924,-53.85995101928711,58.07524871826172,0.0008444729610346258,0.5409643054008484,87.5 sec
45000,0,0.21571460366249084,-54.170928955078125,51.66971206665039,0.0006412553484551609,0.5682913064956665,87.5 sec
50000,0,0.22426767647266388,-58.76735305786133,52.68051528930664,0.0005433602491393685,0.5895856618881226,87.5 sec
55000,0,0.22389322519302368,-54.60874557495117,53.54209518432617,0.0007272858638316393,0.5927303433418274,87.5 sec
60000,0,0.2179240882396698,-56.542152404785156,61.597373962402344,0.0003136041632387787,0.5602878928184509,87.5 sec
65000,0,0.22221022844314575,-56.02072525024414,60.604034423828125,0.00023584636801388115,0.576815664768219,87.5 sec
70000,0,0.2176297903060913,-45.525047302246094,49.46943664550781,0.0006196337635628879,0.543674886226654,87.5 sec
75000,0,0.18532928824424744,-48.62061309814453,51.27936935424805,-0.00039489808841608465,0.4447988271713257,87.5 sec
80000,0,0.20116804540157318,-44.90439987182617,41.80518341064453,-0.0002129355416400358,0.473613977432251,87.5 sec
85000,0,0.22761984169483185,-59.06098175048828,61.00360107421875,0.000697875046171248,0.5391660332679749,87.5 sec
90000,0,0.2348165214061737,-53.92245864868164,49.41837692260742,0.0002329926355741918,0.5516018867492676,87.5 sec
95000,0,0.2394954115152359,-52.37281036376953,50.527713775634766,0.00006852550723124295,0.562231183052063,87.5 sec
