train_step,accumulation,average_variance,min_grad,max_grad,mean_grad,std_grad
0,4,0.03559892624616623,-27.33984375,25.5,0.00003233187453588471,0.34158098697662354
5000,4,0.104758620262146,-31.689180374145508,42.04296875,-0.0002341876970604062,0.30638810992240906
10000,4,0.09226017445325851,-19.54619598388672,178.01336669921875,3.227592287657899e-6,0.21093140542507172
15000,4,0.09091703593730927,-261.79620361328125,54.059349060058594,-0.00009916075214277953,0.16186930239200592
20000,4,0.08847203850746155,-143.5192108154297,317.4517517089844,0.00006771370681235567,0.16044484078884125
25000,4,0.09010887891054153,-264.2491455078125,190.14743041992188,0.000028651696993620135,0.14445608854293823
30000,4,0.09567302465438843,-333.7130432128906,32.76599884033203,-0.0000749737155274488,0.15941399335861206
35000,4,0.10162918269634247,-160.92813110351562,52.60100555419922,-0.00009533089178148657,0.1530912220478058
40000,4,0.10917601734399796,-83.35459899902344,124.00515747070312,0.0001295475522056222,0.1607593446969986
45000,4,0.11766420304775238,-156.2998504638672,84.93101501464844,-0.0000327498019032646,0.176463320851326
50000,4,0.12405215948820114,-157.2960205078125,189.48268127441406,-2.672129312486504e-6,0.18138183653354645
55000,4,0.12406454235315323,-169.60110473632812,108.79910278320312,-0.0001642508286749944,0.18665160238742828
60000,4,0.12287594377994537,-148.4459228515625,161.1636505126953,0.00011331189307384193,0.18205823004245758
65000,4,0.11920515447854996,-49.949005126953125,232.526123046875,0.00016672835045028478,0.18189755082130432
70000,4,0.11543839424848557,-195.55531311035156,69.68392944335938,0.00024297407071571797,0.18205854296684265
75000,4,0.11606653034687042,-126.44529724121094,98.17147827148438,0.00003940420356229879,0.1816985011100769
80000,4,0.11927075684070587,-119.75837707519531,102.21712493896484,0.000030355700801010244,0.18746326863765717
85000,4,0.11941082775592804,-109.74285125732422,74.95437622070312,-0.00007046406244626269,0.19270780682563782
90000,4,0.12014833837747574,-51.46833801269531,118.81793212890625,0.00010196604853263125,0.1951771080493927
95000,4,0.12875856459140778,-113.04560089111328,125.4639892578125,0.00013300801219884306,0.20901043713092804
100000,4,0.13256505131721497,-82.7322769165039,139.3823699951172,0.000051497332606231794,0.21358747780323029
105000,4,0.13585878908634186,-135.3917236328125,85.59380340576172,0.00005468261588248424,0.22098110616207123
110000,4,0.1318919062614441,-63.73101806640625,130.4339599609375,0.00008712820272194222,0.21494030952453613
115000,4,0.12894873321056366,-133.9789276123047,61.8046875,-0.00007618749077664688,0.21637669205665588
120000,4,0.12765514850616455,-59.015625,74.359375,0.00016222300473600626,0.21331904828548431
125000,4,0.12427013367414474,-61.671875,77.15372467041016,0.00001814640017983038,0.21007557213306427
130000,4,0.12300510704517365,-58.47998046875,69.0390625,0.00011859378719236702,0.2132173627614975
135000,4,0.12411020696163177,-71.73828125,66.98397064208984,0.0000694291084073484,0.22000132501125336
140000,4,0.13100937008857727,-88.05859375,73.35546875,0.00005760926433140412,0.23035725951194763
145000,4,0.13233815133571625,-73.5859375,78.0791015625,0.00005048145612818189,0.23379163444042206
150000,4,0.13544297218322754,-76.3232421875,82.6484375,0.00011341754725435749,0.239220529794693
155000,4,0.13583064079284668,-76.8642578125,85.328125,0.000039811300666769966,0.2406305968761444
160000,4,0.13688017427921295,-80.1015625,83.203125,-0.00004194868233753368,0.24551379680633545
165000,4,0.13801810145378113,-70.40625,65.27734375,0.00007989112054929137,0.24373561143875122
170000,4,0.13093946874141693,-86.02734375,66.18571472167969,-0.0001378916931571439,0.23240496218204498
175000,4,0.12933515012264252,-87.6015625,70.91413879394531,-0.000010932065379165579,0.2328067272901535
180000,4,0.1299416869878769,-69.6171875,95.171875,0.0001581661927048117,0.2365875393152237
185000,4,0.13310015201568604,-80.7890625,83.5859375,-0.000036893852666253224,0.24338220059871674
190000,4,0.13641726970672607,-70.837890625,75.7109375,-0.000025344399546156637,0.24884919822216034
195000,4,0.1394544094800949,-88.05859375,85.2587890625,0.00019067064567934722,0.2600642144680023
200000,4,0.1407625675201416,-78.44921875,82.92578125,8.417996468779165e-6,0.25692975521087646
205000,4,0.1430065631866455,-91.4296875,99.36328125,0.00007026593084447086,0.26448917388916016
210000,4,0.14309684932231903,-87.0859375,79.199462890625,3.3246703878830886e-6,0.26156967878341675
215000,4,0.1428845226764679,-80.25390625,81.1640625,-0.00003466350972303189,0.26127156615257263
220000,4,0.13970179855823517,-97.0078125,78.88671875,0.00011040505341952667,0.25798630714416504
225000,4,0.1401984989643097,-93.9921875,92.078125,0.00008227087528211996,0.25795936584472656
230000,4,0.13264602422714233,-82.6171875,83.734375,0.000046293847844935954,0.2446594536304474
235000,4,0.1382916420698166,-95.3359375,83.390625,-0.00013996122288517654,0.2560786008834839
240000,4,0.13687053322792053,-83.8642578125,75.12083435058594,-0.00009150586265604943,0.2560277581214905
245000,4,0.14132501184940338,-108.79075622558594,113.0390625,0.00017730944091454148,0.26433005928993225
250000,4,0.14335733652114868,-85.40234375,92.265625,0.000012727742614515591,0.2671063542366028
255000,4,0.1477183699607849,-90.1171875,114.34228515625,0.00009693655010778457,0.2804355025291443
260000,4,0.1447037160396576,-78.55892944335938,129.078125,0.00011527347669471055,0.27011075615882874
265000,4,0.14666198194026947,-81.5,105.34375,0.000012922489986522123,0.2687538266181946
270000,4,0.13637563586235046,-80.0,71.6484375,-0.000027617950763669796,0.2554461359977722
275000,4,0.14274950325489044,-105.28125,80.33984375,4.935614015266765e-6,0.26214268803596497
280000,4,0.1339542120695114,-70.8046875,70.796875,1.924655407492537e-6,0.2512087821960449
285000,4,0.1411772072315216,-80.80611419677734,94.0625,0.00014015703345648944,0.2632157802581787
290000,4,0.14209744334220886,-98.40625,113.05329895019531,0.000019448012608336285,0.2668612599372864
295000,4,0.14370538294315338,-89.4296875,79.421875,-0.000030823492124909535,0.26929494738578796
300000,4,0.14455614984035492,-92.4375,80.9140625,6.480762749561109e-6,0.2705341577529907
305000,4,0.1462169885635376,-89.3671875,107.953125,0.00002941270577139221,0.2734086811542511
310000,4,0.1474701166152954,-138.328125,82.9404296875,-0.000040563154470874,0.27620381116867065
315000,4,0.14551806449890137,-101.6328125,96.6953125,0.00006041640881448984,0.27140894532203674
320000,4,0.14414827525615692,-146.453125,78.099609375,0.00006161907367641106,0.2651679515838623
325000,4,0.14261594414710999,-93.06269073486328,81.17146301269531,0.000029131937480997294,0.2621683180332184
330000,4,0.13745860755443573,-113.078125,95.208984375,0.0000301410946121905,0.25972309708595276
335000,4,0.14047174155712128,-79.609375,147.625,0.00017376255709677935,0.26100653409957886
340000,4,0.142328143119812,-91.421875,137.71875,0.00009241619409294799,0.2639956474304199
345000,4,0.1432737559080124,-82.50040435791016,166.32421875,0.00011509800242492929,0.2679544985294342
350000,4,0.14478513598442078,-86.826416015625,101.2578125,0.000041207444155588746,0.2703202962875366
355000,4,0.1453743427991867,-100.908203125,125.09375,0.00013245786249171942,0.274853378534317
360000,4,0.14664091169834137,-140.1875,101.140625,0.000026971398256137036,0.275037944316864
365000,4,0.1456635445356369,-108.421875,198.34375,0.0001897754118544981,0.27434489130973816
370000,4,0.14536933600902557,-106.9609375,103.4375,1.2397252930895775e-6,0.2687094807624817
375000,4,0.1407724916934967,-112.25251770019531,100.12174987792969,-0.00003391611608094536,0.2594574987888336
380000,4,0.14353607594966888,-110.83059692382812,94.55126953125,-5.7000106608029455e-6,0.26538679003715515
385000,4,0.14009056985378265,-93.77137756347656,93.61902618408203,0.00002357632911298424,0.2591024339199066
390000,4,0.14202789962291718,-104.890625,116.62890625,0.00015705930127296597,0.26318272948265076
395000,4,0.14393013715744019,-113.15669250488281,200.614501953125,0.00001969686127267778,0.2686120867729187
400000,4,0.14362134039402008,-113.9921875,202.859375,0.00006097678851801902,0.26715075969696045
