it0,it1,euclidian_distance,cosine_similarity
5000,0,10.853666305541992,0.9998579025268555
10000,0,28.445964813232422,0.9990232586860657
15000,0,50.31515884399414,0.9969438910484314
20000,0,71.77022552490234,0.9937743544578552
25000,0,102.54715728759766,0.9872866868972778
30000,0,128.437255859375,0.9800747036933899
35000,0,144.86973571777344,0.9746723771095276
40000,0,154.64205932617188,0.9711524248123169
45000,0,159.5808563232422,0.9692832231521606
50000,0,161.151611328125,0.9686740636825562
55000,0,162.5064239501953,0.9681421518325806
60000,0,166.37811279296875,0.9666022062301636
65000,0,172.75062561035156,0.9639937877655029
70000,0,181.84812927246094,0.9601110816001892
75000,0,193.4337615966797,0.9548948407173157
80000,0,204.5635528564453,0.9495954513549805
85000,0,211.60366821289062,0.9460749626159668
90000,0,215.60946655273438,0.9439985752105713
95000,0,217.46893310546875,0.9430049061775208
100000,0,218.0435333251953,0.942691445350647
105000,0,218.51197814941406,0.9424301385879517
110000,0,220.040283203125,0.9415927529335022
115000,0,223.08595275878906,0.9399335384368896
120000,0,227.74266052246094,0.9373722076416016
125000,0,234.83372497558594,0.9334182739257812
130000,0,241.75277709960938,0.9294495582580566
135000,0,246.02162170410156,0.9269077181816101
140000,0,248.40945434570312,0.9254358410835266
145000,0,249.59622192382812,0.9246841073036194
150000,0,249.9204864501953,0.9244685173034668
155000,0,250.23036193847656,0.9242614507675171
160000,0,251.2714080810547,0.9235883355140686
165000,0,253.3397979736328,0.9222725033760071
170000,0,256.79388427734375,0.920092761516571
175000,0,261.8369445800781,0.9168940782546997
180000,0,266.9158630371094,0.9136190414428711
185000,0,270.20550537109375,0.9114320278167725
190000,0,271.9424133300781,0.9102249145507812
195000,0,272.8004455566406,0.9096084237098694
200000,0,273.0544128417969,0.9094172716140747
205000,0,273.2720947265625,0.9092487096786499
210000,0,274.1157531738281,0.9086402654647827
215000,0,275.7040100097656,0.9075121879577637
220000,0,278.33355712890625,0.9056718945503235
225000,0,282.4988708496094,0.9027831554412842
230000,0,286.74749755859375,0.89980149269104
235000,0,289.43463134765625,0.8978528380393982
240000,0,291.12933349609375,0.8965936899185181
245000,0,291.87200927734375,0.8960113525390625
250000,0,292.14453125,0.8957955837249756
255000,0,292.3406982421875,0.8956295251846313
260000,0,293.03802490234375,0.8950745463371277
265000,0,294.50213623046875,0.8939515352249146
270000,0,296.9705505371094,0.8920915126800537
275000,0,300.7518310546875,0.8892697095870972
