step,batch size,value
100,87.5 sec,0.7509765625
200,87.5 sec,0.7509765625
300,87.5 sec,0.7509765625
400,87.5 sec,0.7509765625
500,87.5 sec,0.7509765625
600,87.5 sec,0.7509765625
700,87.5 sec,0.7509765625
800,87.5 sec,0.7509765625
900,87.5 sec,0.7509765625
1000,87.5 sec,0.7509765625
1100,87.5 sec,0.7509765625
1200,87.5 sec,0.7509765625
1300,87.5 sec,0.7509765625
1400,87.5 sec,0.7509765625
1500,87.5 sec,0.7509765625
1600,87.5 sec,0.7509765625
1700,87.5 sec,0.7509765625
1800,87.5 sec,0.7509765625
1900,87.5 sec,0.7509765625
2000,87.5 sec,0.7509765625
2100,87.5 sec,0.7509765625
2200,87.5 sec,0.7509765625
2300,87.5 sec,0.7509765625
2400,87.5 sec,0.7509765625
2500,87.5 sec,0.7509765625
2600,87.5 sec,0.7509765625
2700,87.5 sec,0.7509765625
2800,87.5 sec,0.7509765625
2900,87.5 sec,0.7509765625
3000,87.5 sec,0.7509765625
3100,87.5 sec,0.75146484375
3200,87.5 sec,0.75146484375
3300,87.5 sec,0.75146484375
3400,87.5 sec,0.75146484375
3500,87.5 sec,0.75146484375
3600,87.5 sec,0.75146484375
3700,87.5 sec,0.75146484375
3800,87.5 sec,0.75146484375
3900,87.5 sec,0.75146484375
4000,87.5 sec,0.75146484375
4100,87.5 sec,0.75146484375
4200,87.5 sec,0.75146484375
4300,87.5 sec,0.75146484375
4400,87.5 sec,0.75146484375
4500,87.5 sec,0.75146484375
4600,87.5 sec,0.75146484375
4700,87.5 sec,0.75146484375
4800,87.5 sec,0.75146484375
4900,87.5 sec,0.75146484375
5000,87.5 sec,0.75146484375
5100,87.5 sec,0.75146484375
5200,87.5 sec,0.75146484375
5300,87.5 sec,0.751953125
5400,87.5 sec,0.751953125
5500,87.5 sec,0.751953125
5600,87.5 sec,0.751953125
5700,87.5 sec,0.751953125
5800,87.5 sec,0.751953125
5900,87.5 sec,0.751953125
6000,87.5 sec,0.751953125
6100,87.5 sec,0.751953125
6200,87.5 sec,0.751953125
6300,87.5 sec,0.751953125
6400,87.5 sec,0.751953125
6500,87.5 sec,0.751953125
6600,87.5 sec,0.751953125
6700,87.5 sec,0.751953125
6800,87.5 sec,0.751953125
6900,87.5 sec,0.75244140625
7000,87.5 sec,0.75244140625
7100,87.5 sec,0.75244140625
7200,87.5 sec,0.75244140625
7300,87.5 sec,0.75244140625
7400,87.5 sec,0.75244140625
7500,87.5 sec,0.75244140625
7600,87.5 sec,0.75244140625
7700,87.5 sec,0.75244140625
7800,87.5 sec,0.75244140625
7900,87.5 sec,0.75244140625
8000,87.5 sec,0.75244140625
8100,87.5 sec,0.75244140625
8200,87.5 sec,0.75244140625
8300,87.5 sec,0.75244140625
8400,87.5 sec,0.75244140625
8500,87.5 sec,0.7529296875
8600,87.5 sec,0.7529296875
8700,87.5 sec,0.7529296875
8800,87.5 sec,0.7529296875
8900,87.5 sec,0.7529296875
9000,87.5 sec,0.7529296875
9100,87.5 sec,0.7529296875
9200,87.5 sec,0.7529296875
9300,87.5 sec,0.7529296875
9400,87.5 sec,0.7529296875
9500,87.5 sec,0.7529296875
9600,87.5 sec,0.7529296875
9700,87.5 sec,0.7529296875
9800,87.5 sec,0.7529296875
9900,87.5 sec,0.7529296875
10000,87.5 sec,0.7529296875
10100,87.5 sec,0.75341796875
10200,87.5 sec,0.75341796875
10300,87.5 sec,0.75341796875
10400,87.5 sec,0.75341796875
10500,87.5 sec,0.75341796875
10600,87.5 sec,0.75341796875
10700,87.5 sec,0.75341796875
10800,87.5 sec,0.75341796875
10900,87.5 sec,0.75341796875
11000,87.5 sec,0.75341796875
11100,87.5 sec,0.75341796875
11200,87.5 sec,0.75341796875
11300,87.5 sec,0.75341796875
11400,87.5 sec,0.75341796875
11500,87.5 sec,0.75341796875
11600,87.5 sec,0.75390625
11700,87.5 sec,0.75390625
11800,87.5 sec,0.75390625
11900,87.5 sec,0.75390625
12000,87.5 sec,0.75390625
12100,87.5 sec,0.75390625
12200,87.5 sec,0.75390625
12300,87.5 sec,0.75390625
12400,87.5 sec,0.75390625
12500,87.5 sec,0.75390625
12600,87.5 sec,0.75390625
12700,87.5 sec,0.75390625
12800,87.5 sec,0.75390625
12900,87.5 sec,0.75439453125
13000,87.5 sec,0.75439453125
13100,87.5 sec,0.75439453125
13200,87.5 sec,0.75439453125
13300,87.5 sec,0.75439453125
13400,87.5 sec,0.75439453125
13500,87.5 sec,0.75439453125
13600,87.5 sec,0.75439453125
13700,87.5 sec,0.75439453125
13800,87.5 sec,0.75439453125
13900,87.5 sec,0.75439453125
14000,87.5 sec,0.75439453125
14100,87.5 sec,0.75439453125
14200,87.5 sec,0.7548828125
14300,87.5 sec,0.7548828125
14400,87.5 sec,0.7548828125
14500,87.5 sec,0.7548828125
14600,87.5 sec,0.7548828125
14700,87.5 sec,0.7548828125
14800,87.5 sec,0.7548828125
14900,87.5 sec,0.7548828125
15000,87.5 sec,0.7548828125
15100,87.5 sec,0.7548828125
15200,87.5 sec,0.7548828125
15300,87.5 sec,0.7548828125
15400,87.5 sec,0.7548828125
15500,87.5 sec,0.75537109375
15600,87.5 sec,0.75537109375
15700,87.5 sec,0.75537109375
15800,87.5 sec,0.75537109375
15900,87.5 sec,0.75537109375
16000,87.5 sec,0.75537109375
16100,87.5 sec,0.75537109375
16200,87.5 sec,0.75537109375
16300,87.5 sec,0.75537109375
16400,87.5 sec,0.75537109375
16500,87.5 sec,0.75537109375
16600,87.5 sec,0.75537109375
16700,87.5 sec,0.75537109375
16800,87.5 sec,0.755859375
16900,87.5 sec,0.755859375
17000,87.5 sec,0.755859375
17100,87.5 sec,0.755859375
17200,87.5 sec,0.755859375
17300,87.5 sec,0.755859375
17400,87.5 sec,0.755859375
17500,87.5 sec,0.755859375
17600,87.5 sec,0.755859375
17700,87.5 sec,0.755859375
17800,87.5 sec,0.755859375
17900,87.5 sec,0.755859375
18000,87.5 sec,0.755859375
18100,87.5 sec,0.755859375
18200,87.5 sec,0.755859375
18300,87.5 sec,0.755859375
18400,87.5 sec,0.75634765625
18500,87.5 sec,0.75634765625
18600,87.5 sec,0.75634765625
18700,87.5 sec,0.75634765625
18800,87.5 sec,0.75634765625
18900,87.5 sec,0.75634765625
19000,87.5 sec,0.75634765625
19100,87.5 sec,0.75634765625
19200,87.5 sec,0.75634765625
19300,87.5 sec,0.75634765625
19400,87.5 sec,0.75634765625
19500,87.5 sec,0.75634765625
19600,87.5 sec,0.75634765625
19700,87.5 sec,0.75634765625
19800,87.5 sec,0.75634765625
19900,87.5 sec,0.75634765625
20000,87.5 sec,0.75634765625
20100,87.5 sec,0.75634765625
20200,87.5 sec,0.75634765625
20300,87.5 sec,0.75634765625
20400,87.5 sec,0.75634765625
20500,87.5 sec,0.75634765625
20600,87.5 sec,0.75634765625
20700,87.5 sec,0.75634765625
20800,87.5 sec,0.75634765625
20900,87.5 sec,0.75634765625
21000,87.5 sec,0.75634765625
21100,87.5 sec,0.75634765625
21200,87.5 sec,0.75634765625
21300,87.5 sec,0.75634765625
21400,87.5 sec,0.75634765625
21500,87.5 sec,0.75634765625
21600,87.5 sec,0.75634765625
21700,87.5 sec,0.75634765625
21800,87.5 sec,0.75634765625
21900,87.5 sec,0.75634765625
22000,87.5 sec,0.75634765625
22100,87.5 sec,0.75634765625
22200,87.5 sec,0.75634765625
22300,87.5 sec,0.75634765625
22400,87.5 sec,0.75634765625
22500,87.5 sec,0.75634765625
