"Step","1873380_2 - train/perplexity_cb0","1873380_2 - train/perplexity_cb0__MIN","1873380_2 - train/perplexity_cb0__MAX","4395274 - train/perplexity_cb0","4395274 - train/perplexity_cb0__MIN","4395274 - train/perplexity_cb0__MAX","1940028_1 - train/perplexity_cb0","1940028_1 - train/perplexity_cb0__MIN","1940028_1 - train/perplexity_cb0__MAX","4520555_1 - train/perplexity_cb0","4520555_1 - train/perplexity_cb0__MIN","4520555_1 - train/perplexity_cb0__MAX","2536305_1 - train/perplexity_cb0","2536305_1 - train/perplexity_cb0__MIN","2536305_1 - train/perplexity_cb0__MAX","2536333_1 - train/perplexity_cb0","2536333_1 - train/perplexity_cb0__MIN","2536333_1 - train/perplexity_cb0__MAX","1940035_0 - train/perplexity_cb0","1940035_0 - train/perplexity_cb0__MIN","1940035_0 - train/perplexity_cb0__MAX"
"1100","6.27308988571167","6.27308988571167","6.27308988571167","6.932992935180664","6.932992935180664","6.932992935180664","7.189235210418701","7.189235210418701","7.189235210418701","8.174522399902344","8.174522399902344","8.174522399902344","31.422136306762695","31.422136306762695","31.422136306762695","283.7923889160156","283.7923889160156","283.7923889160156","191.01588439941406","191.01588439941406","191.01588439941406"
"1200","7.288059234619141","7.288059234619141","7.288059234619141","9.18944263458252","9.18944263458252","9.18944263458252","6.586370468139648","6.586370468139648","6.586370468139648","7.828332901000977","7.828332901000977","7.828332901000977","19.394872665405273","19.394872665405273","19.394872665405273","251.86866760253906","251.86866760253906","251.86866760253906","196.16290283203125","196.16290283203125","196.16290283203125"
"1300","8.640074729919434","8.640074729919434","8.640074729919434","10.424843788146973","10.424843788146973","10.424843788146973","7.052090644836426","7.052090644836426","7.052090644836426","7.935771942138672","7.935771942138672","7.935771942138672","13.16706657409668","13.16706657409668","13.16706657409668","97.20867156982422","97.20867156982422","97.20867156982422","203.8057403564453","203.8057403564453","203.8057403564453"
"1400","10.033683776855469","10.033683776855469","10.033683776855469","11.600001335144043","11.600001335144043","11.600001335144043","6.2678542137146","6.2678542137146","6.2678542137146","8.26117992401123","8.26117992401123","8.26117992401123","9.695672035217285","9.695672035217285","9.695672035217285","47.52429962158203","47.52429962158203","47.52429962158203","209.1280975341797","209.1280975341797","209.1280975341797"
"1500","11.084938049316406","11.084938049316406","11.084938049316406","13.325427055358887","13.325427055358887","13.325427055358887","6.442842960357666","6.442842960357666","6.442842960357666","8.161185264587402","8.161185264587402","8.161185264587402","8.50485897064209","8.50485897064209","8.50485897064209","32.21036148071289","32.21036148071289","32.21036148071289","215.73670959472656","215.73670959472656","215.73670959472656"
"1600","12.524988174438477","12.524988174438477","12.524988174438477","14.704568862915039","14.704568862915039","14.704568862915039","7.068140983581543","7.068140983581543","7.068140983581543","7.119350910186768","7.119350910186768","7.119350910186768","8.478178024291992","8.478178024291992","8.478178024291992","22.841724395751953","22.841724395751953","22.841724395751953","221.9532470703125","221.9532470703125","221.9532470703125"
"1700","14.202537536621094","14.202537536621094","14.202537536621094","14.812176704406738","14.812176704406738","14.812176704406738","7.195984363555908","7.195984363555908","7.195984363555908","6.349405765533447","6.349405765533447","6.349405765533447","8.060102462768555","8.060102462768555","8.060102462768555","17.356510162353516","17.356510162353516","17.356510162353516","227.39361572265625","227.39361572265625","227.39361572265625"
"1800","14.909004211425781","14.909004211425781","14.909004211425781","15.404764175415039","15.404764175415039","15.404764175415039","8.150410652160645","8.150410652160645","8.150410652160645","6.36759614944458","6.36759614944458","6.36759614944458","8.101579666137695","8.101579666137695","8.101579666137695","14.377063751220703","14.377063751220703","14.377063751220703","234.0682373046875","234.0682373046875","234.0682373046875"
"1900","13.2709379196167","13.2709379196167","13.2709379196167","15.752287864685059","15.752287864685059","15.752287864685059","9.925653457641602","9.925653457641602","9.925653457641602","6.659184455871582","6.659184455871582","6.659184455871582","8.006560325622559","8.006560325622559","8.006560325622559","11.892526626586914","11.892526626586914","11.892526626586914","237.286865234375","237.286865234375","237.286865234375"
"2000","13.676334381103516","13.676334381103516","13.676334381103516","15.663464546203613","15.663464546203613","15.663464546203613","10.413252830505371","10.413252830505371","10.413252830505371","6.928374290466309","6.928374290466309","6.928374290466309","7.79642391204834","7.79642391204834","7.79642391204834","11.136406898498535","11.136406898498535","11.136406898498535","242.3738555908203","242.3738555908203","242.3738555908203"
"2100","14.329265594482422","14.329265594482422","14.329265594482422","15.328874588012695","15.328874588012695","15.328874588012695","11.224471092224121","11.224471092224121","11.224471092224121","6.784474849700928","6.784474849700928","6.784474849700928","7.871269226074219","7.871269226074219","7.871269226074219","10.072348594665527","10.072348594665527","10.072348594665527","249.05422973632812","249.05422973632812","249.05422973632812"
"2200","15.459107398986816","15.459107398986816","15.459107398986816","15.02043628692627","15.02043628692627","15.02043628692627","11.817761421203613","11.817761421203613","11.817761421203613","6.851375102996826","6.851375102996826","6.851375102996826","7.499231338500977","7.499231338500977","7.499231338500977","9.9952974319458","9.9952974319458","9.9952974319458","251.15245056152344","251.15245056152344","251.15245056152344"
"2300","16.558191299438477","16.558191299438477","16.558191299438477","14.578771591186523","14.578771591186523","14.578771591186523","12.614624977111816","12.614624977111816","12.614624977111816","6.523850917816162","6.523850917816162","6.523850917816162","6.779211521148682","6.779211521148682","6.779211521148682","9.405278205871582","9.405278205871582","9.405278205871582","258.62371826171875","258.62371826171875","258.62371826171875"
"2400","16.406768798828125","16.406768798828125","16.406768798828125","15.310155868530273","15.310155868530273","15.310155868530273","13.489814758300781","13.489814758300781","13.489814758300781","6.302165508270264","6.302165508270264","6.302165508270264","6.639853000640869","6.639853000640869","6.639853000640869","8.811261177062988","8.811261177062988","8.811261177062988","261.7581481933594","261.7581481933594","261.7581481933594"
"2500","15.632826805114746","15.632826805114746","15.632826805114746","15.805437088012695","15.805437088012695","15.805437088012695","14.461165428161621","14.461165428161621","14.461165428161621","6.063241958618164","6.063241958618164","6.063241958618164","6.540503025054932","6.540503025054932","6.540503025054932","8.593523979187012","8.593523979187012","8.593523979187012","266.232421875","266.232421875","266.232421875"
"2600","15.759143829345703","15.759143829345703","15.759143829345703","16.705495834350586","16.705495834350586","16.705495834350586","15.034111022949219","15.034111022949219","15.034111022949219","5.962309837341309","5.962309837341309","5.962309837341309","6.629121780395508","6.629121780395508","6.629121780395508","8.111572265625","8.111572265625","8.111572265625","267.8886413574219","267.8886413574219","267.8886413574219"
"2700","16.849849700927734","16.849849700927734","16.849849700927734","17.58468246459961","17.58468246459961","17.58468246459961","15.283793449401855","15.283793449401855","15.283793449401855","6.244341850280762","6.244341850280762","6.244341850280762","6.774357795715332","6.774357795715332","6.774357795715332","7.722861289978027","7.722861289978027","7.722861289978027","271.8289794921875","271.8289794921875","271.8289794921875"
"2800","18.30078125","18.30078125","18.30078125","18.428821563720703","18.428821563720703","18.428821563720703","16.085290908813477","16.085290908813477","16.085290908813477","6.891416549682617","6.891416549682617","6.891416549682617","6.7685956954956055","6.7685956954956055","6.7685956954956055","7.649489402770996","7.649489402770996","7.649489402770996","276.08648681640625","276.08648681640625","276.08648681640625"
"2900","19.254871368408203","19.254871368408203","19.254871368408203","20.0253849029541","20.0253849029541","20.0253849029541","16.9478759765625","16.9478759765625","16.9478759765625","7.441917419433594","7.441917419433594","7.441917419433594","6.900089740753174","6.900089740753174","6.900089740753174","7.529462814331055","7.529462814331055","7.529462814331055","276.9461669921875","276.9461669921875","276.9461669921875"
"3000","19.28076171875","19.28076171875","19.28076171875","20.520835876464844","20.520835876464844","20.520835876464844","17.627552032470703","17.627552032470703","17.627552032470703","7.796663761138916","7.796663761138916","7.796663761138916","7.329755783081055","7.329755783081055","7.329755783081055","7.337728977203369","7.337728977203369","7.337728977203369","280.2488098144531","280.2488098144531","280.2488098144531"
"3100","20.234907150268555","20.234907150268555","20.234907150268555","22.868927001953125","22.868927001953125","22.868927001953125","16.93485450744629","16.93485450744629","16.93485450744629","8.58749008178711","8.58749008178711","8.58749008178711","7.399702548980713","7.399702548980713","7.399702548980713","7.292716979980469","7.292716979980469","7.292716979980469","281.208740234375","281.208740234375","281.208740234375"
"3200","22.431119918823242","22.431119918823242","22.431119918823242","25.393840789794922","25.393840789794922","25.393840789794922","15.979109764099121","15.979109764099121","15.979109764099121","10.515656471252441","10.515656471252441","10.515656471252441","7.446018695831299","7.446018695831299","7.446018695831299","6.580172061920166","6.580172061920166","6.580172061920166","276.134033203125","276.134033203125","276.134033203125"
"3300","24.81978988647461","24.81978988647461","24.81978988647461","26.5730037689209","26.5730037689209","26.5730037689209","16.14261245727539","16.14261245727539","16.14261245727539","11.046616554260254","11.046616554260254","11.046616554260254","8.251909255981445","8.251909255981445","8.251909255981445","6.372354507446289","6.372354507446289","6.372354507446289","255.91116333007812","255.91116333007812","255.91116333007812"
"3400","26.31561851501465","26.31561851501465","26.31561851501465","27.921253204345703","27.921253204345703","27.921253204345703","16.369590759277344","16.369590759277344","16.369590759277344","11.178309440612793","11.178309440612793","11.178309440612793","9.259188652038574","9.259188652038574","9.259188652038574","6.246374607086182","6.246374607086182","6.246374607086182","256.77618408203125","256.77618408203125","256.77618408203125"
"3500","25.636770248413086","25.636770248413086","25.636770248413086","29.536357879638672","29.536357879638672","29.536357879638672","16.746417999267578","16.746417999267578","16.746417999267578","11.696707725524902","11.696707725524902","11.696707725524902","10.647930145263672","10.647930145263672","10.647930145263672","6.361041069030762","6.361041069030762","6.361041069030762","262.8370361328125","262.8370361328125","262.8370361328125"
"3600","25.790611267089844","25.790611267089844","25.790611267089844","30.23284339904785","30.23284339904785","30.23284339904785","17.387706756591797","17.387706756591797","17.387706756591797","12.457901000976562","12.457901000976562","12.457901000976562","11.76415729522705","11.76415729522705","11.76415729522705","6.8216118812561035","6.8216118812561035","6.8216118812561035","272.0334777832031","272.0334777832031","272.0334777832031"
"3700","25.442951202392578","25.442951202392578","25.442951202392578","34.18572998046875","34.18572998046875","34.18572998046875","18.59355926513672","18.59355926513672","18.59355926513672","13.04372787475586","13.04372787475586","13.04372787475586","12.824094772338867","12.824094772338867","12.824094772338867","7.170089244842529","7.170089244842529","7.170089244842529","279.3291931152344","279.3291931152344","279.3291931152344"
"3800","26.516841888427734","26.516841888427734","26.516841888427734","33.59142303466797","33.59142303466797","33.59142303466797","19.24559211730957","19.24559211730957","19.24559211730957","13.659919738769531","13.659919738769531","13.659919738769531","13.312280654907227","13.312280654907227","13.312280654907227","6.878303050994873","6.878303050994873","6.878303050994873","284.6123962402344","284.6123962402344","284.6123962402344"
"3900","28.041616439819336","28.041616439819336","28.041616439819336","32.94557189941406","32.94557189941406","32.94557189941406","18.768232345581055","18.768232345581055","18.768232345581055","14.14253044128418","14.14253044128418","14.14253044128418","14.54023265838623","14.54023265838623","14.54023265838623","6.876615047454834","6.876615047454834","6.876615047454834","287.046875","287.046875","287.046875"
"4000","32.79386901855469","32.79386901855469","32.79386901855469","34.63417053222656","34.63417053222656","34.63417053222656","18.66405487060547","18.66405487060547","18.66405487060547","14.311306953430176","14.311306953430176","14.311306953430176","15.008403778076172","15.008403778076172","15.008403778076172","6.700501441955566","6.700501441955566","6.700501441955566","288.1742248535156","288.1742248535156","288.1742248535156"
"4100","36.36309814453125","36.36309814453125","36.36309814453125","35.02473831176758","35.02473831176758","35.02473831176758","18.552946090698242","18.552946090698242","18.552946090698242","14.064526557922363","14.064526557922363","14.064526557922363","15.732959747314453","15.732959747314453","15.732959747314453","6.644979000091553","6.644979000091553","6.644979000091553","288.1006774902344","288.1006774902344","288.1006774902344"
"4200","36.73769760131836","36.73769760131836","36.73769760131836","35.276023864746094","35.276023864746094","35.276023864746094","19.248456954956055","19.248456954956055","19.248456954956055","13.399580955505371","13.399580955505371","13.399580955505371","16.329936981201172","16.329936981201172","16.329936981201172","6.4340667724609375","6.4340667724609375","6.4340667724609375","288.688720703125","288.688720703125","288.688720703125"
"4300","36.58974838256836","36.58974838256836","36.58974838256836","37.51997375488281","37.51997375488281","37.51997375488281","20.066089630126953","20.066089630126953","20.066089630126953","13.04499340057373","13.04499340057373","13.04499340057373","16.475629806518555","16.475629806518555","16.475629806518555","6.350764274597168","6.350764274597168","6.350764274597168","288.5749206542969","288.5749206542969","288.5749206542969"
"4400","37.268245697021484","37.268245697021484","37.268245697021484","38.18983840942383","38.18983840942383","38.18983840942383","20.55376434326172","20.55376434326172","20.55376434326172","13.158738136291504","13.158738136291504","13.158738136291504","16.051795959472656","16.051795959472656","16.051795959472656","6.252443313598633","6.252443313598633","6.252443313598633","290.8038330078125","290.8038330078125","290.8038330078125"
"4500","36.68260955810547","36.68260955810547","36.68260955810547","40.01785659790039","40.01785659790039","40.01785659790039","20.95769691467285","20.95769691467285","20.95769691467285","13.920635223388672","13.920635223388672","13.920635223388672","15.97150707244873","15.97150707244873","15.97150707244873","6.048583030700684","6.048583030700684","6.048583030700684","291.35845947265625","291.35845947265625","291.35845947265625"
"4600","36.684349060058594","36.684349060058594","36.684349060058594","42.09292984008789","42.09292984008789","42.09292984008789","21.389768600463867","21.389768600463867","21.389768600463867","14.46215534210205","14.46215534210205","14.46215534210205","16.121065139770508","16.121065139770508","16.121065139770508","6.145739555358887","6.145739555358887","6.145739555358887","290.480224609375","290.480224609375","290.480224609375"
"4700","37.71196746826172","37.71196746826172","37.71196746826172","43.528846740722656","43.528846740722656","43.528846740722656","21.310583114624023","21.310583114624023","21.310583114624023","15.014721870422363","15.014721870422363","15.014721870422363","16.885204315185547","16.885204315185547","16.885204315185547","6.33427619934082","6.33427619934082","6.33427619934082","290.50543212890625","290.50543212890625","290.50543212890625"
"4800","38.427181243896484","38.427181243896484","38.427181243896484","44.14784240722656","44.14784240722656","44.14784240722656","20.8642520904541","20.8642520904541","20.8642520904541","15.178086280822754","15.178086280822754","15.178086280822754","17.71394920349121","17.71394920349121","17.71394920349121","6.270556926727295","6.270556926727295","6.270556926727295","291.9410400390625","291.9410400390625","291.9410400390625"
"4900","40.00670623779297","40.00670623779297","40.00670623779297","45.12944793701172","45.12944793701172","45.12944793701172","21.054109573364258","21.054109573364258","21.054109573364258","15.117402076721191","15.117402076721191","15.117402076721191","18.661483764648438","18.661483764648438","18.661483764648438","6.544543266296387","6.544543266296387","6.544543266296387","291.6025390625","291.6025390625","291.6025390625"
"5000","41.82069396972656","41.82069396972656","41.82069396972656","45.7682991027832","45.7682991027832","45.7682991027832","21.14352035522461","21.14352035522461","21.14352035522461","15.219367027282715","15.219367027282715","15.219367027282715","17.80087661743164","17.80087661743164","17.80087661743164","6.896597862243652","6.896597862243652","6.896597862243652","292.2109375","292.2109375","292.2109375"
"5100","42.5888557434082","42.5888557434082","42.5888557434082","46.10576248168945","46.10576248168945","46.10576248168945","21.19515037536621","21.19515037536621","21.19515037536621","15.889505386352539","15.889505386352539","15.889505386352539","17.482053756713867","17.482053756713867","17.482053756713867","7.127572536468506","7.127572536468506","7.127572536468506","289.404296875","289.404296875","289.404296875"
"5200","44.13493728637695","44.13493728637695","44.13493728637695","46.000003814697266","46.000003814697266","46.000003814697266","21.12972068786621","21.12972068786621","21.12972068786621","15.830902099609375","15.830902099609375","15.830902099609375","17.40049934387207","17.40049934387207","17.40049934387207","7.394850730895996","7.394850730895996","7.394850730895996","280.1343078613281","280.1343078613281","280.1343078613281"
"5300","45.12834167480469","45.12834167480469","45.12834167480469","46.92402648925781","46.92402648925781","46.92402648925781","21.86123275756836","21.86123275756836","21.86123275756836","16.280624389648438","16.280624389648438","16.280624389648438","16.816722869873047","16.816722869873047","16.816722869873047","7.5248236656188965","7.5248236656188965","7.5248236656188965","286.52545166015625","286.52545166015625","286.52545166015625"
"5400","45.574806213378906","45.574806213378906","45.574806213378906","48.6062126159668","48.6062126159668","48.6062126159668","21.76331901550293","21.76331901550293","21.76331901550293","16.482810974121094","16.482810974121094","16.482810974121094","16.373979568481445","16.373979568481445","16.373979568481445","7.890656471252441","7.890656471252441","7.890656471252441","285.9029541015625","285.9029541015625","285.9029541015625"
"5500","48.26072692871094","48.26072692871094","48.26072692871094","49.293434143066406","49.293434143066406","49.293434143066406","22.028881072998047","22.028881072998047","22.028881072998047","15.908974647521973","15.908974647521973","15.908974647521973","15.601348876953125","15.601348876953125","15.601348876953125","8.236082077026367","8.236082077026367","8.236082077026367","280.9533996582031","280.9533996582031","280.9533996582031"
"5600","49.69479751586914","49.69479751586914","49.69479751586914","50.129669189453125","50.129669189453125","50.129669189453125","22.34453773498535","22.34453773498535","22.34453773498535","15.439319610595703","15.439319610595703","15.439319610595703","15.917290687561035","15.917290687561035","15.917290687561035","8.520066261291504","8.520066261291504","8.520066261291504","283.0728454589844","283.0728454589844","283.0728454589844"
"5700","50.69771957397461","50.69771957397461","50.69771957397461","50.910099029541016","50.910099029541016","50.910099029541016","22.86074447631836","22.86074447631836","22.86074447631836","15.463884353637695","15.463884353637695","15.463884353637695","15.878294944763184","15.878294944763184","15.878294944763184","8.740612030029297","8.740612030029297","8.740612030029297","287.64727783203125","287.64727783203125","287.64727783203125"
"5800","50.79298400878906","50.79298400878906","50.79298400878906","52.54583740234375","52.54583740234375","52.54583740234375","22.801015853881836","22.801015853881836","22.801015853881836","15.985785484313965","15.985785484313965","15.985785484313965","16.186172485351562","16.186172485351562","16.186172485351562","9.751249313354492","9.751249313354492","9.751249313354492","285.14666748046875","285.14666748046875","285.14666748046875"
"5900","51.75767517089844","51.75767517089844","51.75767517089844","52.6258544921875","52.6258544921875","52.6258544921875","23.91625213623047","23.91625213623047","23.91625213623047","16.258197784423828","16.258197784423828","16.258197784423828","16.70220947265625","16.70220947265625","16.70220947265625","10.306864738464355","10.306864738464355","10.306864738464355","283.9326171875","283.9326171875","283.9326171875"
"6000","53.338417053222656","53.338417053222656","53.338417053222656","53.02938461303711","53.02938461303711","53.02938461303711","23.90683364868164","23.90683364868164","23.90683364868164","16.742046356201172","16.742046356201172","16.742046356201172","16.86440086364746","16.86440086364746","16.86440086364746","11.386922836303711","11.386922836303711","11.386922836303711","286.4148254394531","286.4148254394531","286.4148254394531"
"6100","53.67958450317383","53.67958450317383","53.67958450317383","54.58916473388672","54.58916473388672","54.58916473388672","26.4333438873291","26.4333438873291","26.4333438873291","16.829429626464844","16.829429626464844","16.829429626464844","17.562652587890625","17.562652587890625","17.562652587890625","11.770453453063965","11.770453453063965","11.770453453063965","286.99981689453125","286.99981689453125","286.99981689453125"
"6200","54.665565490722656","54.665565490722656","54.665565490722656","55.81801223754883","55.81801223754883","55.81801223754883","28.313520431518555","28.313520431518555","28.313520431518555","17.42854118347168","17.42854118347168","17.42854118347168","18.407073974609375","18.407073974609375","18.407073974609375","11.938759803771973","11.938759803771973","11.938759803771973","287.02978515625","287.02978515625","287.02978515625"
"6300","52.900882720947266","52.900882720947266","52.900882720947266","56.41800308227539","56.41800308227539","56.41800308227539","29.599720001220703","29.599720001220703","29.599720001220703","17.329946517944336","17.329946517944336","17.329946517944336","19.060062408447266","19.060062408447266","19.060062408447266","12.09113597869873","12.09113597869873","12.09113597869873","288.20306396484375","288.20306396484375","288.20306396484375"
"6400","54.12598419189453","54.12598419189453","54.12598419189453","56.34619140625","56.34619140625","56.34619140625","30.475919723510742","30.475919723510742","30.475919723510742","17.473291397094727","17.473291397094727","17.473291397094727","19.370933532714844","19.370933532714844","19.370933532714844","12.055929183959961","12.055929183959961","12.055929183959961","288.5680236816406","288.5680236816406","288.5680236816406"
"6500","56.50668716430664","56.50668716430664","56.50668716430664","58.33324432373047","58.33324432373047","58.33324432373047","31.117345809936523","31.117345809936523","31.117345809936523","17.606178283691406","17.606178283691406","17.606178283691406","20.211105346679688","20.211105346679688","20.211105346679688","13.143800735473633","13.143800735473633","13.143800735473633","287.6290588378906","287.6290588378906","287.6290588378906"
"6600","56.57114791870117","56.57114791870117","56.57114791870117","59.04221725463867","59.04221725463867","59.04221725463867","30.468263626098633","30.468263626098633","30.468263626098633","18.799198150634766","18.799198150634766","18.799198150634766","20.201610565185547","20.201610565185547","20.201610565185547","13.76942253112793","13.76942253112793","13.76942253112793","287.2748718261719","287.2748718261719","287.2748718261719"
"6700","57.04627990722656","57.04627990722656","57.04627990722656","59.55837631225586","59.55837631225586","59.55837631225586","30.512229919433594","30.512229919433594","30.512229919433594","19.732582092285156","19.732582092285156","19.732582092285156","20.366958618164062","20.366958618164062","20.366958618164062","14.484996795654297","14.484996795654297","14.484996795654297","286.9164733886719","286.9164733886719","286.9164733886719"
"6800","58.0762939453125","58.0762939453125","58.0762939453125","59.8410530090332","59.8410530090332","59.8410530090332","32.0948371887207","32.0948371887207","32.0948371887207","19.778610229492188","19.778610229492188","19.778610229492188","20.542661666870117","20.542661666870117","20.542661666870117","14.475764274597168","14.475764274597168","14.475764274597168","286.7268981933594","286.7268981933594","286.7268981933594"
"6900","58.01161193847656","58.01161193847656","58.01161193847656","59.36234664916992","59.36234664916992","59.36234664916992","33.93224334716797","33.93224334716797","33.93224334716797","21.499309539794922","21.499309539794922","21.499309539794922","21.15531349182129","21.15531349182129","21.15531349182129","14.377701759338379","14.377701759338379","14.377701759338379","285.83917236328125","285.83917236328125","285.83917236328125"
"7000","58.63433837890625","58.63433837890625","58.63433837890625","60.703758239746094","60.703758239746094","60.703758239746094","35.04790115356445","35.04790115356445","35.04790115356445","22.824708938598633","22.824708938598633","22.824708938598633","21.641759872436523","21.641759872436523","21.641759872436523","13.568499565124512","13.568499565124512","13.568499565124512","286.7932434082031","286.7932434082031","286.7932434082031"
"7100","59.55593490600586","59.55593490600586","59.55593490600586","61.74173355102539","61.74173355102539","61.74173355102539","35.658447265625","35.658447265625","35.658447265625","22.951215744018555","22.951215744018555","22.951215744018555","22.68198585510254","22.68198585510254","22.68198585510254","13.347766876220703","13.347766876220703","13.347766876220703","285.3612976074219","285.3612976074219","285.3612976074219"
"7200","59.904151916503906","59.904151916503906","59.904151916503906","60.98759841918945","60.98759841918945","60.98759841918945","36.906211853027344","36.906211853027344","36.906211853027344","23.14044761657715","23.14044761657715","23.14044761657715","23.84759521484375","23.84759521484375","23.84759521484375","12.864051818847656","12.864051818847656","12.864051818847656","286.0068664550781","286.0068664550781","286.0068664550781"
"7300","60.37153625488281","60.37153625488281","60.37153625488281","63.01603698730469","63.01603698730469","63.01603698730469","37.318538665771484","37.318538665771484","37.318538665771484","22.987184524536133","22.987184524536133","22.987184524536133","24.280351638793945","24.280351638793945","24.280351638793945","13.08976936340332","13.08976936340332","13.08976936340332","285.6039123535156","285.6039123535156","285.6039123535156"
"7400","61.29190444946289","61.29190444946289","61.29190444946289","63.730308532714844","63.730308532714844","63.730308532714844","36.76925277709961","36.76925277709961","36.76925277709961","23.167903900146484","23.167903900146484","23.167903900146484","24.00924301147461","24.00924301147461","24.00924301147461","13.161260604858398","13.161260604858398","13.161260604858398","284.1493225097656","284.1493225097656","284.1493225097656"
"7500","61.15192413330078","61.15192413330078","61.15192413330078","64.09736633300781","64.09736633300781","64.09736633300781","36.98195266723633","36.98195266723633","36.98195266723633","23.270641326904297","23.270641326904297","23.270641326904297","24.851398468017578","24.851398468017578","24.851398468017578","13.075639724731445","13.075639724731445","13.075639724731445","285.5247802734375","285.5247802734375","285.5247802734375"
"7600","60.583351135253906","60.583351135253906","60.583351135253906","64.36444091796875","64.36444091796875","64.36444091796875","36.686798095703125","36.686798095703125","36.686798095703125","23.327165603637695","23.327165603637695","23.327165603637695","25.18878746032715","25.18878746032715","25.18878746032715","13.577263832092285","13.577263832092285","13.577263832092285","285.5540466308594","285.5540466308594","285.5540466308594"
