"Step","1873380_2 - train/accuracy","1873380_2 - train/accuracy__MIN","1873380_2 - train/accuracy__MAX","4395274 - train/accuracy","4395274 - train/accuracy__MIN","4395274 - train/accuracy__MAX","1940028_1 - train/accuracy","1940028_1 - train/accuracy__MIN","1940028_1 - train/accuracy__MAX","4520555_1 - train/accuracy","4520555_1 - train/accuracy__MIN","4520555_1 - train/accuracy__MAX","2536305_1 - train/accuracy","2536305_1 - train/accuracy__MIN","2536305_1 - train/accuracy__MAX","2536333_1 - train/accuracy","2536333_1 - train/accuracy__MIN","2536333_1 - train/accuracy__MAX","1940035_0 - train/accuracy","1940035_0 - train/accuracy__MIN","1940035_0 - train/accuracy__MAX"
"100","0.012104351073503494","0.012104351073503494","0.012104351073503494","0.012351671233773232","0.012351671233773232","0.012351671233773232","0.012252935208380222","0.012252935208380222","0.012252935208380222","0.0123677933588624","0.0123677933588624","0.0123677933588624","0.012022585608065128","0.012022585608065128","0.012022585608065128","0.011745460331439972","0.011745460331439972","0.011745460331439972","0.012134131044149399","0.012134131044149399","0.012134131044149399"
"200","0.012077851220965385","0.012077851220965385","0.012077851220965385","0.012228446081280708","0.012228446081280708","0.012228446081280708","0.012283612042665482","0.012283612042665482","0.012283612042665482","0.012113488279283047","0.012113488279283047","0.012113488279283047","0.012153076939284801","0.012153076939284801","0.012153076939284801","0.012017978355288506","0.012017978355288506","0.012017978355288506","0.011862383224070072","0.011862383224070072","0.011862383224070072"
"300","0.011968881823122501","0.011968881823122501","0.011968881823122501","0.012063012458384037","0.012063012458384037","0.012063012458384037","0.012218624353408813","0.012218624353408813","0.012218624353408813","0.012376388534903526","0.012376388534903526","0.012376388534903526","0.012018095701932907","0.012018095701932907","0.012018095701932907","0.011929038912057877","0.011929038912057877","0.011929038912057877","0.01163599081337452","0.01163599081337452","0.01163599081337452"
"400","0.014539950527250767","0.014539950527250767","0.014539950527250767","0.022716056555509567","0.022716056555509567","0.022716056555509567","0.011953852139413357","0.011953852139413357","0.011953852139413357","0.012313736602663994","0.012313736602663994","0.012313736602663994","0.011745482683181763","0.011745482683181763","0.011745482683181763","0.011984875425696373","0.011984875425696373","0.011984875425696373","0.011715210042893887","0.011715210042893887","0.011715210042893887"
"500","0.057425498962402344","0.057425498962402344","0.057425498962402344","0.08396391570568085","0.08396391570568085","0.08396391570568085","0.019282741472125053","0.019282741472125053","0.019282741472125053","0.012418950907886028","0.012418950907886028","0.012418950907886028","0.011867311783134937","0.011867311783134937","0.011867311783134937","0.011922642588615417","0.011922642588615417","0.011922642588615417","0.012128065340220928","0.012128065340220928","0.012128065340220928"
"600","0.08064907044172287","0.08064907044172287","0.08064907044172287","0.08070330321788788","0.08070330321788788","0.08070330321788788","0.04709379002451897","0.04709379002451897","0.04709379002451897","0.014952830970287323","0.014952830970287323","0.014952830970287323","0.011871363036334515","0.011871363036334515","0.011871363036334515","0.01193719170987606","0.01193719170987606","0.01193719170987606","0.011882675811648369","0.011882675811648369","0.011882675811648369"
"700","0.09474638104438782","0.09474638104438782","0.09474638104438782","0.109699547290802","0.109699547290802","0.109699547290802","0.08388281613588333","0.08388281613588333","0.08388281613588333","0.04270729422569275","0.04270729422569275","0.04270729422569275","0.011874827556312084","0.011874827556312084","0.011874827556312084","0.011713203974068165","0.011713203974068165","0.011713203974068165","0.012027733959257603","0.012027733959257603","0.012027733959257603"
"800","0.12477580457925797","0.12477580457925797","0.12477580457925797","0.12461686879396439","0.12461686879396439","0.12461686879396439","0.08479133993387222","0.08479133993387222","0.08479133993387222","0.08896711468696594","0.08896711468696594","0.08896711468696594","0.012418825179338455","0.012418825179338455","0.012418825179338455","0.011583513580262661","0.011583513580262661","0.011583513580262661","0.011953942477703094","0.011953942477703094","0.011953942477703094"
"900","0.13304972648620605","0.13304972648620605","0.13304972648620605","0.12850920855998993","0.12850920855998993","0.12850920855998993","0.08152506500482559","0.08152506500482559","0.08152506500482559","0.09439846128225327","0.09439846128225327","0.09439846128225327","0.01945658028125763","0.01945658028125763","0.01945658028125763","0.01198358740657568","0.01198358740657568","0.01198358740657568","0.011974540539085865","0.011974540539085865","0.011974540539085865"
"1000","0.13811556994915009","0.13811556994915009","0.13811556994915009","0.12854990363121033","0.12854990363121033","0.12854990363121033","0.09505514800548553","0.09505514800548553","0.09505514800548553","0.08877628296613693","0.08877628296613693","0.08877628296613693","0.034434206783771515","0.034434206783771515","0.034434206783771515","0.01216493733227253","0.01216493733227253","0.01216493733227253","0.011679829098284245","0.011679829098284245","0.011679829098284245"
"1100","0.13042670488357544","0.13042670488357544","0.13042670488357544","0.12326062470674515","0.12326062470674515","0.12326062470674515","0.11171144992113113","0.11171144992113113","0.11171144992113113","0.08375292271375656","0.08375292271375656","0.08375292271375656","0.0515311136841774","0.0515311136841774","0.0515311136841774","0.012228170409798622","0.012228170409798622","0.012228170409798622","0.011878847144544125","0.011878847144544125","0.011878847144544125"
"1200","0.12393017113208771","0.12393017113208771","0.12393017113208771","0.12478437274694443","0.12478437274694443","0.12478437274694443","0.10843922197818756","0.10843922197818756","0.10843922197818756","0.08455488085746765","0.08455488085746765","0.08455488085746765","0.07947666198015213","0.07947666198015213","0.07947666198015213","0.01463734544813633","0.01463734544813633","0.01463734544813633","0.01210714876651764","0.01210714876651764","0.01210714876651764"
"1300","0.1231427788734436","0.1231427788734436","0.1231427788734436","0.12383180111646652","0.12383180111646652","0.12383180111646652","0.1093202531337738","0.1093202531337738","0.1093202531337738","0.08955167979001999","0.08955167979001999","0.08955167979001999","0.08445730805397034","0.08445730805397034","0.08445730805397034","0.029197053983807564","0.029197053983807564","0.029197053983807564","0.01188149955123663","0.01188149955123663","0.01188149955123663"
"1400","0.11853058636188507","0.11853058636188507","0.11853058636188507","0.12377341836690903","0.12377341836690903","0.12377341836690903","0.11052535474300385","0.11052535474300385","0.11052535474300385","0.09797299653291702","0.09797299653291702","0.09797299653291702","0.08648968487977982","0.08648968487977982","0.08648968487977982","0.04252072796225548","0.04252072796225548","0.04252072796225548","0.012055874802172184","0.012055874802172184","0.012055874802172184"
"1500","0.11842391639947891","0.11842391639947891","0.11842391639947891","0.11959541589021683","0.11959541589021683","0.11959541589021683","0.11732292920351028","0.11732292920351028","0.11732292920351028","0.10422591120004654","0.10422591120004654","0.10422591120004654","0.0872814729809761","0.0872814729809761","0.0872814729809761","0.06688192486763","0.06688192486763","0.06688192486763","0.011874901130795479","0.011874901130795479","0.011874901130795479"
"1600","0.12144754827022552","0.12144754827022552","0.12144754827022552","0.11972519010305405","0.11972519010305405","0.11972519010305405","0.11974720656871796","0.11974720656871796","0.11974720656871796","0.1036292240023613","0.1036292240023613","0.1036292240023613","0.08644337952136993","0.08644337952136993","0.08644337952136993","0.09300857782363892","0.09300857782363892","0.09300857782363892","0.01135905273258686","0.01135905273258686","0.01135905273258686"
"1700","0.11913271248340607","0.11913271248340607","0.11913271248340607","0.11908788979053497","0.11908788979053497","0.11908788979053497","0.1216585636138916","0.1216585636138916","0.1216585636138916","0.10462181270122528","0.10462181270122528","0.10462181270122528","0.0819685086607933","0.0819685086607933","0.0819685086607933","0.09053278714418411","0.09053278714418411","0.09053278714418411","0.011692585423588753","0.011692585423588753","0.011692585423588753"
"1800","0.11837214231491089","0.11837214231491089","0.11837214231491089","0.12178511917591095","0.12178511917591095","0.12178511917591095","0.11918225139379501","0.11918225139379501","0.11918225139379501","0.10467544943094254","0.10467544943094254","0.10467544943094254","0.08405695110559464","0.08405695110559464","0.08405695110559464","0.08281312137842178","0.08281312137842178","0.08281312137842178","0.012401214800775051","0.012401214800775051","0.012401214800775051"
"1900","0.12301241606473923","0.12301241606473923","0.12301241606473923","0.12446431070566177","0.12446431070566177","0.12446431070566177","0.11691363900899887","0.11691363900899887","0.11691363900899887","0.10862085223197937","0.10862085223197937","0.10862085223197937","0.0875069797039032","0.0875069797039032","0.0875069797039032","0.08854210376739502","0.08854210376739502","0.08854210376739502","0.01209771353751421","0.01209771353751421","0.01209771353751421"
"2000","0.12721599638462067","0.12721599638462067","0.12721599638462067","0.12664970755577087","0.12664970755577087","0.12664970755577087","0.12118592113256454","0.12118592113256454","0.12118592113256454","0.11442995071411133","0.11442995071411133","0.11442995071411133","0.09223981946706772","0.09223981946706772","0.09223981946706772","0.08690936118364334","0.08690936118364334","0.08690936118364334","0.011926182545721531","0.011926182545721531","0.011926182545721531"
"2100","0.12721885740756989","0.12721885740756989","0.12721885740756989","0.1300913691520691","0.1300913691520691","0.1300913691520691","0.11887853592634201","0.11887853592634201","0.11887853592634201","0.11786802113056183","0.11786802113056183","0.11786802113056183","0.09940069168806076","0.09940069168806076","0.09940069168806076","0.08593547344207764","0.08593547344207764","0.08593547344207764","0.01219998486340046","0.01219998486340046","0.01219998486340046"
"2200","0.12621508538722992","0.12621508538722992","0.12621508538722992","0.13216987252235413","0.13216987252235413","0.13216987252235413","0.11593712121248245","0.11593712121248245","0.11593712121248245","0.119033083319664","0.119033083319664","0.119033083319664","0.10117494314908981","0.10117494314908981","0.10117494314908981","0.0862748771905899","0.0862748771905899","0.0862748771905899","0.011934494599699974","0.011934494599699974","0.011934494599699974"
"2300","0.12745043635368347","0.12745043635368347","0.12745043635368347","0.13390465080738068","0.13390465080738068","0.13390465080738068","0.11329539120197296","0.11329539120197296","0.11329539120197296","0.12049839645624161","0.12049839645624161","0.12049839645624161","0.10248321294784546","0.10248321294784546","0.10248321294784546","0.08546886593103409","0.08546886593103409","0.08546886593103409","0.012096049264073372","0.012096049264073372","0.012096049264073372"
"2400","0.1298600137233734","0.1298600137233734","0.1298600137233734","0.13526234030723572","0.13526234030723572","0.13526234030723572","0.11379014700651169","0.11379014700651169","0.11379014700651169","0.12079866975545883","0.12079866975545883","0.12079866975545883","0.10189881175756454","0.10189881175756454","0.10189881175756454","0.08333206176757812","0.08333206176757812","0.08333206176757812","0.012045885436236858","0.012045885436236858","0.012045885436236858"
"2500","0.13188810646533966","0.13188810646533966","0.13188810646533966","0.1360999047756195","0.1360999047756195","0.1360999047756195","0.11542078852653503","0.11542078852653503","0.11542078852653503","0.11907268315553665","0.11907268315553665","0.11907268315553665","0.10168161243200302","0.10168161243200302","0.10168161243200302","0.08275752514600754","0.08275752514600754","0.08275752514600754","0.011828250251710415","0.011828250251710415","0.011828250251710415"
"2600","0.13406100869178772","0.13406100869178772","0.13406100869178772","0.13831022381782532","0.13831022381782532","0.13831022381782532","0.11662304401397705","0.11662304401397705","0.11662304401397705","0.11830358952283859","0.11830358952283859","0.11830358952283859","0.10263389348983765","0.10263389348983765","0.10263389348983765","0.08114968240261078","0.08114968240261078","0.08114968240261078","0.011569094844162464","0.011569094844162464","0.011569094844162464"
"2700","0.13794419169425964","0.13794419169425964","0.13794419169425964","0.13994978368282318","0.13994978368282318","0.13994978368282318","0.11604338139295578","0.11604338139295578","0.11604338139295578","0.11761323362588882","0.11761323362588882","0.11761323362588882","0.10310498625040054","0.10310498625040054","0.10310498625040054","0.08570603281259537","0.08570603281259537","0.08570603281259537","0.011883283965289593","0.011883283965289593","0.011883283965289593"
"2800","0.13728921115398407","0.13728921115398407","0.13728921115398407","0.14104591310024261","0.14104591310024261","0.14104591310024261","0.11879964917898178","0.11879964917898178","0.11879964917898178","0.11597890406847","0.11597890406847","0.11597890406847","0.1042758971452713","0.1042758971452713","0.1042758971452713","0.09057151526212692","0.09057151526212692","0.09057151526212692","0.011664164252579212","0.011664164252579212","0.011664164252579212"
