"Step","1873380_2 - train/loss_diversity","1873380_2 - train/loss_diversity__MIN","1873380_2 - train/loss_diversity__MAX","4395274 - train/loss_diversity","4395274 - train/loss_diversity__MIN","4395274 - train/loss_diversity__MAX","1940028_1 - train/loss_diversity","1940028_1 - train/loss_diversity__MIN","1940028_1 - train/loss_diversity__MAX","4520555_1 - train/loss_diversity","4520555_1 - train/loss_diversity__MIN","4520555_1 - train/loss_diversity__MAX","2536305_1 - train/loss_diversity","2536305_1 - train/loss_diversity__MIN","2536305_1 - train/loss_diversity__MAX","2536333_1 - train/loss_diversity","2536333_1 - train/loss_diversity__MIN","2536333_1 - train/loss_diversity__MAX","1940035_0 - train/loss_diversity","1940035_0 - train/loss_diversity__MIN","1940035_0 - train/loss_diversity__MAX"
"100","14.488346099853516","14.488346099853516","14.488346099853516","14.339789390563965","14.339789390563965","14.339789390563965","19.504846572875977","19.504846572875977","19.504846572875977","22.169883728027344","22.169883728027344","22.169883728027344","24.115036010742188","24.115036010742188","24.115036010742188","25.87047004699707","25.87047004699707","25.87047004699707","28.1650390625","28.1650390625","28.1650390625"
"200","2.9343018531799316","2.9343018531799316","2.9343018531799316","2.4957163333892822","2.4957163333892822","2.4957163333892822","9.343067169189453","9.343067169189453","9.343067169189453","13.17673110961914","13.17673110961914","13.17673110961914","17.070491790771484","17.070491790771484","17.070491790771484","20.407079696655273","20.407079696655273","20.407079696655273","27.201244354248047","27.201244354248047","27.201244354248047"
"300","0.5861663818359375","0.5861663818359375","0.5861663818359375","0.4547809660434723","0.4547809660434723","0.4547809660434723","4.037651538848877","4.037651538848877","4.037651538848877","7.920119762420654","7.920119762420654","7.920119762420654","12.270702362060547","12.270702362060547","12.270702362060547","16.515127182006836","16.515127182006836","16.515127182006836","25.990507125854492","25.990507125854492","25.990507125854492"
"400","3.7008612155914307","3.7008612155914307","3.7008612155914307","14.324049949645996","14.324049949645996","14.324049949645996","1.660410761833191","1.660410761833191","1.660410761833191","4.322638988494873","4.322638988494873","4.322638988494873","8.695301055908203","8.695301055908203","8.695301055908203","13.093648910522461","13.093648910522461","13.093648910522461","25.273487091064453","25.273487091064453","25.273487091064453"
"500","39.23756790161133","39.23756790161133","39.23756790161133","44.297245025634766","44.297245025634766","44.297245025634766","16.683292388916016","16.683292388916016","16.683292388916016","2.3531744480133057","2.3531744480133057","2.3531744480133057","5.73757266998291","5.73757266998291","5.73757266998291","10.350903511047363","10.350903511047363","10.350903511047363","23.74346351623535","23.74346351623535","23.74346351623535"
"600","44.993595123291016","44.993595123291016","44.993595123291016","45.612117767333984","45.612117767333984","45.612117767333984","39.37956619262695","39.37956619262695","39.37956619262695","6.958413600921631","6.958413600921631","6.958413600921631","3.5662522315979004","3.5662522315979004","3.5662522315979004","8.067952156066895","8.067952156066895","8.067952156066895","22.214130401611328","22.214130401611328","22.214130401611328"
"700","50.07926940917969","50.07926940917969","50.07926940917969","52.666709899902344","52.666709899902344","52.666709899902344","45.64582824707031","45.64582824707031","45.64582824707031","34.62263107299805","34.62263107299805","34.62263107299805","2.3422794342041016","2.3422794342041016","2.3422794342041016","6.114914417266846","6.114914417266846","6.114914417266846","20.630197525024414","20.630197525024414","20.630197525024414"
"800","54.33415985107422","54.33415985107422","54.33415985107422","55.02495193481445","55.02495193481445","55.02495193481445","46.436065673828125","46.436065673828125","46.436065673828125","44.13218688964844","44.13218688964844","44.13218688964844","1.9090511798858643","1.9090511798858643","1.9090511798858643","4.434657096862793","4.434657096862793","4.434657096862793","19.577434539794922","19.577434539794922","19.577434539794922"
"900","55.548194885253906","55.548194885253906","55.548194885253906","55.75434494018555","55.75434494018555","55.75434494018555","47.3117561340332","47.3117561340332","47.3117561340332","45.89327621459961","45.89327621459961","45.89327621459961","16.572750091552734","16.572750091552734","16.572750091552734","3.244913339614868","3.244913339614868","3.244913339614868","18.305339813232422","18.305339813232422","18.305339813232422"
"1000","55.820289611816406","55.820289611816406","55.820289611816406","56.537803649902344","56.537803649902344","56.537803649902344","50.981563568115234","50.981563568115234","50.981563568115234","46.34638595581055","46.34638595581055","46.34638595581055","35.390689849853516","35.390689849853516","35.390689849853516","2.4092016220092773","2.4092016220092773","2.4092016220092773","17.18115997314453","17.18115997314453","17.18115997314453"
