"Step","1873380_2 - train/loss","1873380_2 - train/loss__MIN","1873380_2 - train/loss__MAX","4395274 - train/loss","4395274 - train/loss__MIN","4395274 - train/loss__MAX","1940028_1 - train/loss","1940028_1 - train/loss__MIN","1940028_1 - train/loss__MAX","4520555_1 - train/loss","4520555_1 - train/loss__MIN","4520555_1 - train/loss__MAX","2536305_1 - train/loss","2536305_1 - train/loss__MIN","2536305_1 - train/loss__MAX","2536333_1 - train/loss","2536333_1 - train/loss__MIN","2536333_1 - train/loss__MAX","1940035_0 - train/loss","1940035_0 - train/loss__MIN","1940035_0 - train/loss__MAX"
"1300","11516.6650390625","11516.6650390625","11516.6650390625","11440.9521484375","11440.9521484375","11440.9521484375","11767.568359375","11767.568359375","11767.568359375","12218.2548828125","12218.2548828125","12218.2548828125","12254.4951171875","12254.4951171875","12254.4951171875","13138.5458984375","13138.5458984375","13138.5458984375","7927.15576171875","7927.15576171875","7927.15576171875"
"1400","11411.97265625","11411.97265625","11411.97265625","11358.7421875","11358.7421875","11358.7421875","11778.3603515625","11778.3603515625","11778.3603515625","11976.5400390625","11976.5400390625","11976.5400390625","12606.9501953125","12606.9501953125","12606.9501953125","13012.6123046875","13012.6123046875","13012.6123046875","7903.1923828125","7903.1923828125","7903.1923828125"
"1500","11312.7978515625","11312.7978515625","11312.7978515625","11161.4775390625","11161.4775390625","11161.4775390625","11801.8125","11801.8125","11801.8125","12043.1171875","12043.1171875","12043.1171875","12525.1708984375","12525.1708984375","12525.1708984375","13000.712890625","13000.712890625","13000.712890625","7905.29052734375","7905.29052734375","7905.29052734375"
"1600","11175.9052734375","11175.9052734375","11175.9052734375","11092.6953125","11092.6953125","11092.6953125","11650.1708984375","11650.1708984375","11650.1708984375","12200.0361328125","12200.0361328125","12200.0361328125","12096.1083984375","12096.1083984375","12096.1083984375","12879.744140625","12879.744140625","12879.744140625","7904.79052734375","7904.79052734375","7904.79052734375"
"1700","11164.990234375","11164.990234375","11164.990234375","11137.48828125","11137.48828125","11137.48828125","11803.87890625","11803.87890625","11803.87890625","11993.8876953125","11993.8876953125","11993.8876953125","12386.6845703125","12386.6845703125","12386.6845703125","12586.9677734375","12586.9677734375","12586.9677734375","7974.7529296875","7974.7529296875","7974.7529296875"
"1800","11306.6025390625","11306.6025390625","11306.6025390625","10995.1953125","10995.1953125","10995.1953125","11820.75","11820.75","11820.75","11832.0390625","11832.0390625","11832.0390625","12112.3349609375","12112.3349609375","12112.3349609375","12491.00390625","12491.00390625","12491.00390625","7938.61572265625","7938.61572265625","7938.61572265625"
"1900","11022.947265625","11022.947265625","11022.947265625","10963.982421875","10963.982421875","10963.982421875","11553.5322265625","11553.5322265625","11553.5322265625","11643.4658203125","11643.4658203125","11643.4658203125","12156.90234375","12156.90234375","12156.90234375","12062.541015625","12062.541015625","12062.541015625","7934.4375","7934.4375","7934.4375"
"2000","11065.29296875","11065.29296875","11065.29296875","10741.3798828125","10741.3798828125","10741.3798828125","11767.3828125","11767.3828125","11767.3828125","11571.705078125","11571.705078125","11571.705078125","12469.07421875","12469.07421875","12469.07421875","11033.6904296875","11033.6904296875","11033.6904296875","8008.765625","8008.765625","8008.765625"
"2100","10806.6826171875","10806.6826171875","10806.6826171875","10701.884765625","10701.884765625","10701.884765625","11582.9189453125","11582.9189453125","11582.9189453125","11681.44921875","11681.44921875","11681.44921875","12513.6298828125","12513.6298828125","12513.6298828125","10986.298828125","10986.298828125","10986.298828125","7990.86181640625","7990.86181640625","7990.86181640625"
"2200","10608.5478515625","10608.5478515625","10608.5478515625","10690.580078125","10690.580078125","10690.580078125","11738.4375","11738.4375","11738.4375","11506.1787109375","11506.1787109375","11506.1787109375","12539.2900390625","12539.2900390625","12539.2900390625","10789.736328125","10789.736328125","10789.736328125","7931.76513671875","7931.76513671875","7931.76513671875"
"2300","10802.5947265625","10802.5947265625","10802.5947265625","10672.150390625","10672.150390625","10672.150390625","11621.5595703125","11621.5595703125","11621.5595703125","11504.697265625","11504.697265625","11504.697265625","12513.306640625","12513.306640625","12513.306640625","11010.2158203125","11010.2158203125","11010.2158203125","7962.49609375","7962.49609375","7962.49609375"
"2400","10952.0478515625","10952.0478515625","10952.0478515625","10618.7724609375","10618.7724609375","10618.7724609375","11446.767578125","11446.767578125","11446.767578125","11543.8779296875","11543.8779296875","11543.8779296875","12528.23828125","12528.23828125","12528.23828125","11429.5625","11429.5625","11429.5625","7956.30615234375","7956.30615234375","7956.30615234375"
"2500","10749.0302734375","10749.0302734375","10749.0302734375","10499.6103515625","10499.6103515625","10499.6103515625","10836.494140625","10836.494140625","10836.494140625","11648.4384765625","11648.4384765625","11648.4384765625","12297.380859375","12297.380859375","12297.380859375","11770.525390625","11770.525390625","11770.525390625","7965.4189453125","7965.4189453125","7965.4189453125"
"2600","10455.6484375","10455.6484375","10455.6484375","10490.6728515625","10490.6728515625","10490.6728515625","11467.201171875","11467.201171875","11467.201171875","11698.087890625","11698.087890625","11698.087890625","12194.5322265625","12194.5322265625","12194.5322265625","12218.01953125","12218.01953125","12218.01953125","7939.72509765625","7939.72509765625","7939.72509765625"
"2700","10368.9443359375","10368.9443359375","10368.9443359375","10545.0703125","10545.0703125","10545.0703125","11525.322265625","11525.322265625","11525.322265625","11681.90234375","11681.90234375","11681.90234375","11937.6962890625","11937.6962890625","11937.6962890625","12308.6474609375","12308.6474609375","12308.6474609375","7981.43505859375","7981.43505859375","7981.43505859375"
"2800","10437.90234375","10437.90234375","10437.90234375","10398.427734375","10398.427734375","10398.427734375","11140.2177734375","11140.2177734375","11140.2177734375","11529.3271484375","11529.3271484375","11529.3271484375","11602.5029296875","11602.5029296875","11602.5029296875","12435.330078125","12435.330078125","12435.330078125","7992.18115234375","7992.18115234375","7992.18115234375"
"2900","10717.4697265625","10717.4697265625","10717.4697265625","10338.396484375","10338.396484375","10338.396484375","11171.2001953125","11171.2001953125","11171.2001953125","11407.1015625","11407.1015625","11407.1015625","11490.3671875","11490.3671875","11490.3671875","12257.6162109375","12257.6162109375","12257.6162109375","7988.14697265625","7988.14697265625","7988.14697265625"
"3000","10457.4853515625","10457.4853515625","10457.4853515625","10389.107421875","10389.107421875","10389.107421875","10790.75","10790.75","10790.75","11265.6484375","11265.6484375","11265.6484375","10835.0341796875","10835.0341796875","10835.0341796875","12307.4228515625","12307.4228515625","12307.4228515625","8020.01416015625","8020.01416015625","8020.01416015625"
"3100","10431.2373046875","10431.2373046875","10431.2373046875","10213.3095703125","10213.3095703125","10213.3095703125","10960.794921875","10960.794921875","10960.794921875","11298.37109375","11298.37109375","11298.37109375","11440.8896484375","11440.8896484375","11440.8896484375","11927.4521484375","11927.4521484375","11927.4521484375","7962.60302734375","7962.60302734375","7962.60302734375"
"3200","10429.587890625","10429.587890625","10429.587890625","10259.15234375","10259.15234375","10259.15234375","11071.08984375","11071.08984375","11071.08984375","11387.1474609375","11387.1474609375","11387.1474609375","11717.162109375","11717.162109375","11717.162109375","11752.36328125","11752.36328125","11752.36328125","7418.013671875","7418.013671875","7418.013671875"
"3300","10380.6708984375","10380.6708984375","10380.6708984375","10114.4765625","10114.4765625","10114.4765625","10533.3046875","10533.3046875","10533.3046875","11445.6396484375","11445.6396484375","11445.6396484375","11817.80078125","11817.80078125","11817.80078125","12070.302734375","12070.302734375","12070.302734375","6745.55078125","6745.55078125","6745.55078125"
"3400","10478.6416015625","10478.6416015625","10478.6416015625","10046.9833984375","10046.9833984375","10046.9833984375","10414.76953125","10414.76953125","10414.76953125","11338.2783203125","11338.2783203125","11338.2783203125","11794.9541015625","11794.9541015625","11794.9541015625","12124.9091796875","12124.9091796875","12124.9091796875","6558.89794921875","6558.89794921875","6558.89794921875"
"3500","10221.353515625","10221.353515625","10221.353515625","10035.8916015625","10035.8916015625","10035.8916015625","10765.3935546875","10765.3935546875","10765.3935546875","11351.3583984375","11351.3583984375","11351.3583984375","11822.630859375","11822.630859375","11822.630859375","11979.4970703125","11979.4970703125","11979.4970703125","6639.38134765625","6639.38134765625","6639.38134765625"
"3600","10304.779296875","10304.779296875","10304.779296875","10022.62890625","10022.62890625","10022.62890625","10742.9697265625","10742.9697265625","10742.9697265625","11246.849609375","11246.849609375","11246.849609375","11705.837890625","11705.837890625","11705.837890625","11629.1123046875","11629.1123046875","11629.1123046875","7060.3388671875","7060.3388671875","7060.3388671875"
"3700","10021.826171875","10021.826171875","10021.826171875","10092.2412109375","10092.2412109375","10092.2412109375","10569.462890625","10569.462890625","10569.462890625","10985.5576171875","10985.5576171875","10985.5576171875","11710.396484375","11710.396484375","11710.396484375","11779.833984375","11779.833984375","11779.833984375","7479.673828125","7479.673828125","7479.673828125"
"3800","10106.353515625","10106.353515625","10106.353515625","9861.8173828125","9861.8173828125","9861.8173828125","10755.1962890625","10755.1962890625","10755.1962890625","10932.884765625","10932.884765625","10932.884765625","11623.4697265625","11623.4697265625","11623.4697265625","11894.87109375","11894.87109375","11894.87109375","7825.107421875","7825.107421875","7825.107421875"
"3900","9940.337890625","9940.337890625","9940.337890625","9675.583984375","9675.583984375","9675.583984375","10924.275390625","10924.275390625","10924.275390625","10929.8388671875","10929.8388671875","10929.8388671875","11663.7216796875","11663.7216796875","11663.7216796875","12099.2763671875","12099.2763671875","12099.2763671875","7893.88427734375","7893.88427734375","7893.88427734375"
"4000","10030.142578125","10030.142578125","10030.142578125","9828.8076171875","9828.8076171875","9828.8076171875","10538.8046875","10538.8046875","10538.8046875","10947.2978515625","10947.2978515625","10947.2978515625","11773.5947265625","11773.5947265625","11773.5947265625","12151.3466796875","12151.3466796875","12151.3466796875","7895.400390625","7895.400390625","7895.400390625"
"4100","10102.9697265625","10102.9697265625","10102.9697265625","9864.228515625","9864.228515625","9864.228515625","10780.9921875","10780.9921875","10780.9921875","10859.9921875","10859.9921875","10859.9921875","11785.3515625","11785.3515625","11785.3515625","12138.8291015625","12138.8291015625","12138.8291015625","8017.0966796875","8017.0966796875","8017.0966796875"
"4200","10000.5126953125","10000.5126953125","10000.5126953125","9733.5341796875","9733.5341796875","9733.5341796875","10758.1904296875","10758.1904296875","10758.1904296875","10561.6552734375","10561.6552734375","10561.6552734375","11420.767578125","11420.767578125","11420.767578125","12201.572265625","12201.572265625","12201.572265625","8021.3212890625","8021.3212890625","8021.3212890625"
"4300","9765.798828125","9765.798828125","9765.798828125","9716.49609375","9716.49609375","9716.49609375","10911.4658203125","10911.4658203125","10911.4658203125","10531.8271484375","10531.8271484375","10531.8271484375","11437.6435546875","11437.6435546875","11437.6435546875","12221.7587890625","12221.7587890625","12221.7587890625","8098.68505859375","8098.68505859375","8098.68505859375"
"4400","9903.0126953125","9903.0126953125","9903.0126953125","9559.943359375","9559.943359375","9559.943359375","10925.7333984375","10925.7333984375","10925.7333984375","10775.2646484375","10775.2646484375","10775.2646484375","11394.8212890625","11394.8212890625","11394.8212890625","12187.8916015625","12187.8916015625","12187.8916015625","8002.62646484375","8002.62646484375","8002.62646484375"
"4500","9733.2802734375","9733.2802734375","9733.2802734375","9646.28125","9646.28125","9646.28125","10779.7353515625","10779.7353515625","10779.7353515625","11038.2421875","11038.2421875","11038.2421875","11423.3974609375","11423.3974609375","11423.3974609375","12163.3115234375","12163.3115234375","12163.3115234375","7989.93896484375","7989.93896484375","7989.93896484375"
"4600","9714.2060546875","9714.2060546875","9714.2060546875","9650.2177734375","9650.2177734375","9650.2177734375","10587.34765625","10587.34765625","10587.34765625","11061.8291015625","11061.8291015625","11061.8291015625","11452.05859375","11452.05859375","11452.05859375","12216.77734375","12216.77734375","12216.77734375","8045.62255859375","8045.62255859375","8045.62255859375"
"4700","9773.6826171875","9773.6826171875","9773.6826171875","9679.39453125","9679.39453125","9679.39453125","10526.50390625","10526.50390625","10526.50390625","11043.86328125","11043.86328125","11043.86328125","11229.5703125","11229.5703125","11229.5703125","12208.26171875","12208.26171875","12208.26171875","8082.505859375","8082.505859375","8082.505859375"
"4800","9656.736328125","9656.736328125","9656.736328125","9526.7783203125","9526.7783203125","9526.7783203125","10089.2177734375","10089.2177734375","10089.2177734375","10843.7734375","10843.7734375","10843.7734375","11170.6123046875","11170.6123046875","11170.6123046875","12195.3173828125","12195.3173828125","12195.3173828125","8115.68896484375","8115.68896484375","8115.68896484375"
"4900","9657.2685546875","9657.2685546875","9657.2685546875","9487.552734375","9487.552734375","9487.552734375","10522.85546875","10522.85546875","10522.85546875","10685.099609375","10685.099609375","10685.099609375","10783.8291015625","10783.8291015625","10783.8291015625","12040.263671875","12040.263671875","12040.263671875","8098.0625","8098.0625","8098.0625"
"5000","9657.5185546875","9657.5185546875","9657.5185546875","9521.0400390625","9521.0400390625","9521.0400390625","10591.5302734375","10591.5302734375","10591.5302734375","10799.7470703125","10799.7470703125","10799.7470703125","11009.494140625","11009.494140625","11009.494140625","11921.5361328125","11921.5361328125","11921.5361328125","8037.9619140625","8037.9619140625","8037.9619140625"
"5100","9547.91796875","9547.91796875","9547.91796875","9466.1298828125","9466.1298828125","9466.1298828125","10479.3095703125","10479.3095703125","10479.3095703125","11087.7197265625","11087.7197265625","11087.7197265625","11087.2890625","11087.2890625","11087.2890625","11885.072265625","11885.072265625","11885.072265625","7836.6982421875","7836.6982421875","7836.6982421875"
"5200","9608.2822265625","9608.2822265625","9608.2822265625","9284.576171875","9284.576171875","9284.576171875","10213.3134765625","10213.3134765625","10213.3134765625","10900.77734375","10900.77734375","10900.77734375","10905.1123046875","10905.1123046875","10905.1123046875","11862.8720703125","11862.8720703125","11862.8720703125","7573.0439453125","7573.0439453125","7573.0439453125"
"5300","9627.0751953125","9627.0751953125","9627.0751953125","9298.8759765625","9298.8759765625","9298.8759765625","10493.2646484375","10493.2646484375","10493.2646484375","10799.04296875","10799.04296875","10799.04296875","10938.9140625","10938.9140625","10938.9140625","11873.4501953125","11873.4501953125","11873.4501953125","7835.68359375","7835.68359375","7835.68359375"
"5400","9406.85546875","9406.85546875","9406.85546875","9364.9658203125","9364.9658203125","9364.9658203125","10350.0625","10350.0625","10350.0625","10829.8662109375","10829.8662109375","10829.8662109375","11081.8359375","11081.8359375","11081.8359375","11375.91015625","11375.91015625","11375.91015625","7894.69189453125","7894.69189453125","7894.69189453125"
"5500","9494.453125","9494.453125","9494.453125","9358.73828125","9358.73828125","9358.73828125","10407.83203125","10407.83203125","10407.83203125","10812.92578125","10812.92578125","10812.92578125","11086.478515625","11086.478515625","11086.478515625","11330.8525390625","11330.8525390625","11330.8525390625","7764.49755859375","7764.49755859375","7764.49755859375"
"5600","9527.7705078125","9527.7705078125","9527.7705078125","9315.87109375","9315.87109375","9315.87109375","10390.6376953125","10390.6376953125","10390.6376953125","10689.3798828125","10689.3798828125","10689.3798828125","11104.2158203125","11104.2158203125","11104.2158203125","11296.1328125","11296.1328125","11296.1328125","7826.123046875","7826.123046875","7826.123046875"
"5700","9416.88671875","9416.88671875","9416.88671875","9222.4677734375","9222.4677734375","9222.4677734375","10497.875","10497.875","10497.875","10669.80078125","10669.80078125","10669.80078125","11169.9541015625","11169.9541015625","11169.9541015625","11294.6416015625","11294.6416015625","11294.6416015625","7996.3369140625","7996.3369140625","7996.3369140625"
"5800","9256.4580078125","9256.4580078125","9256.4580078125","9316.89453125","9316.89453125","9316.89453125","10197.2041015625","10197.2041015625","10197.2041015625","10706.0078125","10706.0078125","10706.0078125","11250.6572265625","11250.6572265625","11250.6572265625","11053.1796875","11053.1796875","11053.1796875","7972.8232421875","7972.8232421875","7972.8232421875"
"5900","9261.42578125","9261.42578125","9261.42578125","9172.55078125","9172.55078125","9172.55078125","10396.830078125","10396.830078125","10396.830078125","10734.2626953125","10734.2626953125","10734.2626953125","11299.65625","11299.65625","11299.65625","10607.1640625","10607.1640625","10607.1640625","7946.267578125","7946.267578125","7946.267578125"
"6000","9361.5126953125","9361.5126953125","9361.5126953125","9063.2646484375","9063.2646484375","9063.2646484375","10139.38671875","10139.38671875","10139.38671875","10575.4423828125","10575.4423828125","10575.4423828125","10866.50390625","10866.50390625","10866.50390625","10492.86328125","10492.86328125","10492.86328125","8026.755859375","8026.755859375","8026.755859375"
"6100","9267.6826171875","9267.6826171875","9267.6826171875","9120.7470703125","9120.7470703125","9120.7470703125","9830.171875","9830.171875","9830.171875","10536.9140625","10536.9140625","10536.9140625","11017.736328125","11017.736328125","11017.736328125","10966.2939453125","10966.2939453125","10966.2939453125","8083.12939453125","8083.12939453125","8083.12939453125"
"6200","9324.2734375","9324.2734375","9324.2734375","9105.2509765625","9105.2509765625","9105.2509765625","10158.37890625","10158.37890625","10158.37890625","10566.072265625","10566.072265625","10566.072265625","11355.4873046875","11355.4873046875","11355.4873046875","11295.302734375","11295.302734375","11295.302734375","8113.93115234375","8113.93115234375","8113.93115234375"
"6300","8860.7373046875","8860.7373046875","8860.7373046875","9068.044921875","9068.044921875","9068.044921875","10196.2587890625","10196.2587890625","10196.2587890625","10576.9248046875","10576.9248046875","10576.9248046875","11109.1025390625","11109.1025390625","11109.1025390625","11348.802734375","11348.802734375","11348.802734375","8177.68603515625","8177.68603515625","8177.68603515625"
"6400","9031.6279296875","9031.6279296875","9031.6279296875","8946.59375","8946.59375","8946.59375","10124.3681640625","10124.3681640625","10124.3681640625","10503.705078125","10503.705078125","10503.705078125","11262.2158203125","11262.2158203125","11262.2158203125","11445.94140625","11445.94140625","11445.94140625","8174.1982421875","8174.1982421875","8174.1982421875"
"6500","9362.0625","9362.0625","9362.0625","9046.8076171875","9046.8076171875","9046.8076171875","10149.255859375","10149.255859375","10149.255859375","10434.7333984375","10434.7333984375","10434.7333984375","11222.955078125","11222.955078125","11222.955078125","11506.4345703125","11506.4345703125","11506.4345703125","8210.7158203125","8210.7158203125","8210.7158203125"
"6600","9213.3681640625","9213.3681640625","9213.3681640625","8967.7626953125","8967.7626953125","8967.7626953125","9952.68359375","9952.68359375","9952.68359375","10486.3583984375","10486.3583984375","10486.3583984375","11266.4208984375","11266.4208984375","11266.4208984375","11341.1845703125","11341.1845703125","11341.1845703125","8221.74609375","8221.74609375","8221.74609375"
"6700","9221.9775390625","9221.9775390625","9221.9775390625","8903.25","8903.25","8903.25","9841.4765625","9841.4765625","9841.4765625","10535.974609375","10535.974609375","10535.974609375","10992.75390625","10992.75390625","10992.75390625","11360.4921875","11360.4921875","11360.4921875","8282.91015625","8282.91015625","8282.91015625"
"6800","9155.4658203125","9155.4658203125","9155.4658203125","8824.802734375","8824.802734375","8824.802734375","9980.13671875","9980.13671875","9980.13671875","10533.1572265625","10533.1572265625","10533.1572265625","10577.3525390625","10577.3525390625","10577.3525390625","11419.5078125","11419.5078125","11419.5078125","8290.3759765625","8290.3759765625","8290.3759765625"
"6900","9036.9052734375","9036.9052734375","9036.9052734375","8739.005859375","8739.005859375","8739.005859375","10115.421875","10115.421875","10115.421875","10568.138671875","10568.138671875","10568.138671875","10915.24609375","10915.24609375","10915.24609375","11404.568359375","11404.568359375","11404.568359375","8311.4775390625","8311.4775390625","8311.4775390625"
"7000","8954.97265625","8954.97265625","8954.97265625","8906.7353515625","8906.7353515625","8906.7353515625","10087.0146484375","10087.0146484375","10087.0146484375","10604.4423828125","10604.4423828125","10604.4423828125","10975.087890625","10975.087890625","10975.087890625","11441.017578125","11441.017578125","11441.017578125","8336.61328125","8336.61328125","8336.61328125"
"7100","9008.9140625","9008.9140625","9008.9140625","8913.67578125","8913.67578125","8913.67578125","9948.3466796875","9948.3466796875","9948.3466796875","10608.6298828125","10608.6298828125","10608.6298828125","11029.0234375","11029.0234375","11029.0234375","11284.0947265625","11284.0947265625","11284.0947265625","8357.302734375","8357.302734375","8357.302734375"
"7200","9002.3125","9002.3125","9002.3125","8641.6875","8641.6875","8641.6875","9985.7607421875","9985.7607421875","9985.7607421875","10586.392578125","10586.392578125","10586.392578125","10575.3095703125","10575.3095703125","10575.3095703125","11246.6171875","11246.6171875","11246.6171875","8332.685546875","8332.685546875","8332.685546875"
"7300","8871.861328125","8871.861328125","8871.861328125","8764.4853515625","8764.4853515625","8764.4853515625","9986.1904296875","9986.1904296875","9986.1904296875","10471.0732421875","10471.0732421875","10471.0732421875","10750.8486328125","10750.8486328125","10750.8486328125","11256.6513671875","11256.6513671875","11256.6513671875","8342.95703125","8342.95703125","8342.95703125"
"7400","8927.4921875","8927.4921875","8927.4921875","8760.2939453125","8760.2939453125","8760.2939453125","9933.37109375","9933.37109375","9933.37109375","10483.96875","10483.96875","10483.96875","11096.7470703125","11096.7470703125","11096.7470703125","11265.2900390625","11265.2900390625","11265.2900390625","8368.3759765625","8368.3759765625","8368.3759765625"
"7500","8913.1982421875","8913.1982421875","8913.1982421875","8729.072265625","8729.072265625","8729.072265625","9932.70703125","9932.70703125","9932.70703125","10170.7998046875","10170.7998046875","10170.7998046875","11058.9189453125","11058.9189453125","11058.9189453125","11347.2958984375","11347.2958984375","11347.2958984375","8355.68359375","8355.68359375","8355.68359375"
"7600","8812.4365234375","8812.4365234375","8812.4365234375","8620.705078125","8620.705078125","8620.705078125","9786.13671875","9786.13671875","9786.13671875","10137.8271484375","10137.8271484375","10137.8271484375","10966.0458984375","10966.0458984375","10966.0458984375","10967.91015625","10967.91015625","10967.91015625","8347.94921875","8347.94921875","8347.94921875"
"7700","8960.126953125","8960.126953125","8960.126953125","8628.9853515625","8628.9853515625","8628.9853515625","9788.36328125","9788.36328125","9788.36328125","10270.630859375","10270.630859375","10270.630859375","11016.3310546875","11016.3310546875","11016.3310546875","11186.5927734375","11186.5927734375","11186.5927734375","8373.6279296875","8373.6279296875","8373.6279296875"
"7800","8564.005859375","8564.005859375","8564.005859375","8682.240234375","8682.240234375","8682.240234375","9371.232421875","9371.232421875","9371.232421875","10351.015625","10351.015625","10351.015625","10985.38671875","10985.38671875","10985.38671875","11264.013671875","11264.013671875","11264.013671875","8386.462890625","8386.462890625","8386.462890625"
"7900","8731.5390625","8731.5390625","8731.5390625","8559.1923828125","8559.1923828125","8559.1923828125","9201.451171875","9201.451171875","9201.451171875","10372.3427734375","10372.3427734375","10372.3427734375","11053.615234375","11053.615234375","11053.615234375","11338.37890625","11338.37890625","11338.37890625","8407.693359375","8407.693359375","8407.693359375"
"8000","8910.17578125","8910.17578125","8910.17578125","8559.4111328125","8559.4111328125","8559.4111328125","9668.3916015625","9668.3916015625","9668.3916015625","10256.6064453125","10256.6064453125","10256.6064453125","10608.1787109375","10608.1787109375","10608.1787109375","11322.388671875","11322.388671875","11322.388671875","8424.0546875","8424.0546875","8424.0546875"
"8100","8887.9521484375","8887.9521484375","8887.9521484375","8566.1220703125","8566.1220703125","8566.1220703125","9168.88671875","9168.88671875","9168.88671875","10169.51953125","10169.51953125","10169.51953125","10914.744140625","10914.744140625","10914.744140625","11365.0361328125","11365.0361328125","11365.0361328125","8389.6455078125","8389.6455078125","8389.6455078125"
"8200","8709.1181640625","8709.1181640625","8709.1181640625","8492.830078125","8492.830078125","8492.830078125","9689.47265625","9689.47265625","9689.47265625","9939.6337890625","9939.6337890625","9939.6337890625","11171.87109375","11171.87109375","11171.87109375","11232.513671875","11232.513671875","11232.513671875","8421.314453125","8421.314453125","8421.314453125"
"8300","8573.0185546875","8573.0185546875","8573.0185546875","8576.326171875","8576.326171875","8576.326171875","9754.0263671875","9754.0263671875","9754.0263671875","9952.3740234375","9952.3740234375","9952.3740234375","10947.9013671875","10947.9013671875","10947.9013671875","10984.21875","10984.21875","10984.21875","8396.7158203125","8396.7158203125","8396.7158203125"
