"Step","1873380_2 - train/perplexity_cb1","1873380_2 - train/perplexity_cb1__MIN","1873380_2 - train/perplexity_cb1__MAX","4395274 - train/perplexity_cb1","4395274 - train/perplexity_cb1__MIN","4395274 - train/perplexity_cb1__MAX","1940028_1 - train/perplexity_cb1","1940028_1 - train/perplexity_cb1__MIN","1940028_1 - train/perplexity_cb1__MAX","4520555_1 - train/perplexity_cb1","4520555_1 - train/perplexity_cb1__MIN","4520555_1 - train/perplexity_cb1__MAX","2536305_1 - train/perplexity_cb1","2536305_1 - train/perplexity_cb1__MIN","2536305_1 - train/perplexity_cb1__MAX","2536333_1 - train/perplexity_cb1","2536333_1 - train/perplexity_cb1__MIN","2536333_1 - train/perplexity_cb1__MAX","1940035_0 - train/perplexity_cb1","1940035_0 - train/perplexity_cb1__MIN","1940035_0 - train/perplexity_cb1__MAX"
"100","215.2352752685547","215.2352752685547","215.2352752685547","217.08740234375","217.08740234375","217.08740234375","185.02720642089844","185.02720642089844","185.02720642089844","170.6339569091797","170.6339569091797","170.6339569091797","160.6400909423828","160.6400909423828","160.6400909423828","152.85430908203125","152.85430908203125","152.85430908203125","143.91343688964844","143.91343688964844","143.91343688964844"
"200","278.187255859375","278.187255859375","278.187255859375","280.5543212890625","280.5543212890625","280.5543212890625","237.01455688476562","237.01455688476562","237.01455688476562","213.7877197265625","213.7877197265625","213.7877197265625","192.15341186523438","192.15341186523438","192.15341186523438","175.48974609375","175.48974609375","175.48974609375","148.27833557128906","148.27833557128906","148.27833557128906"
"300","284.29461669921875","284.29461669921875","284.29461669921875","284.1109924316406","284.1109924316406","284.1109924316406","270.0561828613281","270.0561828613281","270.0561828613281","244.44284057617188","244.44284057617188","244.44284057617188","217.8758544921875","217.8758544921875","217.8758544921875","195.3171844482422","195.3171844482422","195.3171844482422","152.05682373046875","152.05682373046875","152.05682373046875"
"400","279.7526550292969","279.7526550292969","279.7526550292969","258.05926513671875","258.05926513671875","258.05926513671875","281.953369140625","281.953369140625","281.953369140625","267.0845947265625","267.0845947265625","267.0845947265625","239.54200744628906","239.54200744628906","239.54200744628906","213.86683654785156","213.86683654785156","213.86683654785156","155.2039031982422","155.2039031982422","155.2039031982422"
"500","144.1161651611328","144.1161651611328","144.1161651611328","103.40750885009766","103.40750885009766","103.40750885009766","247.0470428466797","247.0470428466797","247.0470428466797","278.9110107421875","278.9110107421875","278.9110107421875","258.1946716308594","258.1946716308594","258.1946716308594","230.0470733642578","230.0470733642578","230.0470733642578","162.6074676513672","162.6074676513672","162.6074676513672"
"600","86.61520385742188","86.61520385742188","86.61520385742188","74.5768814086914","74.5768814086914","74.5768814086914","139.9300994873047","139.9300994873047","139.9300994873047","272.29718017578125","272.29718017578125","272.29718017578125","271.4454650878906","271.4454650878906","271.4454650878906","243.34127807617188","243.34127807617188","243.34127807617188","168.0466766357422","168.0466766357422","168.0466766357422"
"700","49.70842361450195","49.70842361450195","49.70842361450195","32.74196243286133","32.74196243286133","32.74196243286133","88.88384246826172","88.88384246826172","88.88384246826172","169.9502410888672","169.9502410888672","169.9502410888672","278.4204406738281","278.4204406738281","278.4204406738281","255.71441650390625","255.71441650390625","255.71441650390625","174.40061950683594","174.40061950683594","174.40061950683594"
"800","26.993404388427734","26.993404388427734","26.993404388427734","19.62971305847168","19.62971305847168","19.62971305847168","74.23379516601562","74.23379516601562","74.23379516601562","102.6107177734375","102.6107177734375","102.6107177734375","280.8291015625","280.8291015625","280.8291015625","267.0400390625","267.0400390625","267.0400390625","180.49964904785156","180.49964904785156","180.49964904785156"
"900","19.63987922668457","19.63987922668457","19.63987922668457","15.549835205078125","15.549835205078125","15.549835205078125","62.42384719848633","62.42384719848633","62.42384719848633","85.47183227539062","85.47183227539062","85.47183227539062","244.50404357910156","244.50404357910156","244.50404357910156","273.91680908203125","273.91680908203125","273.91680908203125","186.88226318359375","186.88226318359375","186.88226318359375"
"1000","17.6951904296875","17.6951904296875","17.6951904296875","14.142647743225098","14.142647743225098","14.142647743225098","40.758243560791016","40.758243560791016","40.758243560791016","75.46258544921875","75.46258544921875","75.46258544921875","167.0771026611328","167.0771026611328","167.0771026611328","278.2768249511719","278.2768249511719","278.2768249511719","193.03521728515625","193.03521728515625","193.03521728515625"
