"Step","1873380_2 - similarity_cb0_avg","1873380_2 - similarity_cb0_avg__MIN","1873380_2 - similarity_cb0_avg__MAX","4395274 - similarity_cb0_avg","4395274 - similarity_cb0_avg__MIN","4395274 - similarity_cb0_avg__MAX","1940028_1 - similarity_cb0_avg","1940028_1 - similarity_cb0_avg__MIN","1940028_1 - similarity_cb0_avg__MAX","4520555_1 - similarity_cb0_avg","4520555_1 - similarity_cb0_avg__MIN","4520555_1 - similarity_cb0_avg__MAX","2536305_1 - similarity_cb0_avg","2536305_1 - similarity_cb0_avg__MIN","2536305_1 - similarity_cb0_avg__MAX","2536333_1 - similarity_cb0_avg","2536333_1 - similarity_cb0_avg__MIN","2536333_1 - similarity_cb0_avg__MAX","1940035_0 - similarity_cb0_avg","1940035_0 - similarity_cb0_avg__MIN","1940035_0 - similarity_cb0_avg__MAX"
"100","0.7511008381843567","0.7511008381843567","0.7511008381843567","0.7511045336723328","0.7511045336723328","0.7511045336723328","0.7510838508605957","0.7510838508605957","0.7510838508605957","0.7510786652565002","0.7510786652565002","0.7510786652565002","0.7510750889778137","0.7510750889778137","0.7510750889778137","0.7510725259780884","0.7510725259780884","0.7510725259780884","0.7510691285133362","0.7510691285133362","0.7510691285133362"
"200","0.7511249780654907","0.7511249780654907","0.7511249780654907","0.7511339783668518","0.7511339783668518","0.7511339783668518","0.7510953545570374","0.7510953545570374","0.7510953545570374","0.7510866522789001","0.7510866522789001","0.7510866522789001","0.7510800361633301","0.7510800361633301","0.7510800361633301","0.7510759234428406","0.7510759234428406","0.7510759234428406","0.7510697245597839","0.7510697245597839","0.7510697245597839"
"300","0.7511491775512695","0.7511491775512695","0.7511491775512695","0.7511637806892395","0.7511637806892395","0.7511637806892395","0.7511060833930969","0.7511060833930969","0.7511060833930969","0.7510941028594971","0.7510941028594971","0.7510941028594971","0.751085102558136","0.751085102558136","0.751085102558136","0.7510792016983032","0.7510792016983032","0.7510792016983032","0.7510702610015869","0.7510702610015869","0.7510702610015869"
"400","0.7511812448501587","0.7511812448501587","0.7511812448501587","0.7512229084968567","0.7512229084968567","0.7512229084968567","0.7511160969734192","0.7511160969734192","0.7511160969734192","0.7511008381843567","0.7511008381843567","0.7511008381843567","0.7510899901390076","0.7510899901390076","0.7510899901390076","0.7510823607444763","0.7510823607444763","0.7510823607444763","0.7510708570480347","0.7510708570480347","0.7510708570480347"
"500","0.7512727379798889","0.7512727379798889","0.7512727379798889","0.7513384819030762","0.7513384819030762","0.7513384819030762","0.7511388063430786","0.7511388063430786","0.7511388063430786","0.7511066794395447","0.7511066794395447","0.7511066794395447","0.7510945796966553","0.7510945796966553","0.7510945796966553","0.7510856986045837","0.7510856986045837","0.7510856986045837","0.7510714530944824","0.7510714530944824","0.7510714530944824"
"600","0.7513808012008667","0.7513808012008667","0.7513808012008667","0.7514498233795166","0.7514498233795166","0.7514498233795166","0.7511745095252991","0.7511745095252991","0.7511745095252991","0.751115083694458","0.751115083694458","0.751115083694458","0.7510990500450134","0.7510990500450134","0.7510990500450134","0.7510889172554016","0.7510889172554016","0.7510889172554016","0.7510721683502197","0.7510721683502197","0.7510721683502197"
"700","0.7514798045158386","0.7514798045158386","0.7514798045158386","0.7515473365783691","0.7515473365783691","0.7515473365783691","0.7512191534042358","0.7512191534042358","0.7512191534042358","0.7511362433433533","0.7511362433433533","0.7511362433433533","0.7511031627655029","0.7511031627655029","0.7511031627655029","0.7510918974876404","0.7510918974876404","0.7510918974876404","0.7510728240013123","0.7510728240013123","0.7510728240013123"
"800","0.7515745162963867","0.7515745162963867","0.7515745162963867","0.7516337633132935","0.7516337633132935","0.7516337633132935","0.7512698769569397","0.7512698769569397","0.7512698769569397","0.7511606812477112","0.7511606812477112","0.7511606812477112","0.7511066794395447","0.7511066794395447","0.7511066794395447","0.7510944604873657","0.7510944604873657","0.7510944604873657","0.7510734796524048","0.7510734796524048","0.7510734796524048"
"900","0.7516747713088989","0.7516747713088989","0.7516747713088989","0.7517272233963013","0.7517272233963013","0.7517272233963013","0.751322865486145","0.751322865486145","0.751322865486145","0.751189649105072","0.751189649105072","0.751189649105072","0.7511164546012878","0.7511164546012878","0.7511164546012878","0.7510973215103149","0.7510973215103149","0.7510973215103149","0.7510742545127869","0.7510742545127869","0.7510742545127869"
"1000","0.7517809271812439","0.7517809271812439","0.7517809271812439","0.7518192529678345","0.7518192529678345","0.7518192529678345","0.751375675201416","0.751375675201416","0.751375675201416","0.7512223124504089","0.7512223124504089","0.7512223124504089","0.7511314749717712","0.7511314749717712","0.7511314749717712","0.7510998845100403","0.7510998845100403","0.7510998845100403","0.7510749101638794","0.7510749101638794","0.7510749101638794"
"1100","0.7518854737281799","0.7518854737281799","0.7518854737281799","0.7519097924232483","0.7519097924232483","0.7519097924232483","0.7514275312423706","0.7514275312423706","0.7514275312423706","0.751259446144104","0.751259446144104","0.751259446144104","0.751147985458374","0.751147985458374","0.751147985458374","0.7511026263237","0.7511026263237","0.7511026263237","0.7510756254196167","0.7510756254196167","0.7510756254196167"
"1200","0.7520023584365845","0.7520023584365845","0.7520023584365845","0.7520310282707214","0.7520310282707214","0.7520310282707214","0.7514805197715759","0.7514805197715759","0.7514805197715759","0.7512971758842468","0.7512971758842468","0.7512971758842468","0.7511671185493469","0.7511671185493469","0.7511671185493469","0.7511063814163208","0.7511063814163208","0.7511063814163208","0.7510764002799988","0.7510764002799988","0.7510764002799988"
"1300","0.7521358728408813","0.7521358728408813","0.7521358728408813","0.7521622180938721","0.7521622180938721","0.7521622180938721","0.7515372633934021","0.7515372633934021","0.7515372633934021","0.7513341307640076","0.7513341307640076","0.7513341307640076","0.751189649105072","0.751189649105072","0.751189649105072","0.7511147856712341","0.7511147856712341","0.7511147856712341","0.7510770559310913","0.7510770559310913","0.7510770559310913"
"1400","0.7522755861282349","0.7522755861282349","0.7522755861282349","0.7523006200790405","0.7523006200790405","0.7523006200790405","0.751596212387085","0.751596212387085","0.751596212387085","0.7513725757598877","0.7513725757598877","0.7513725757598877","0.7512150406837463","0.7512150406837463","0.7512150406837463","0.7511250376701355","0.7511250376701355","0.7511250376701355","0.7510778307914734","0.7510778307914734","0.7510778307914734"
"1500","0.7524133920669556","0.7524133920669556","0.7524133920669556","0.75248122215271","0.75248122215271","0.75248122215271","0.7516569495201111","0.7516569495201111","0.7516569495201111","0.7514109015464783","0.7514109015464783","0.7514109015464783","0.7512415051460266","0.7512415051460266","0.7512415051460266","0.7511362433433533","0.7511362433433533","0.7511362433433533","0.7510786056518555","0.7510786056518555","0.7510786056518555"
"1600","0.7525537610054016","0.7525537610054016","0.7525537610054016","0.7526553869247437","0.7526553869247437","0.7526553869247437","0.7517197728157043","0.7517197728157043","0.7517197728157043","0.7514505982398987","0.7514505982398987","0.7514505982398987","0.7512685656547546","0.7512685656547546","0.7512685656547546","0.7511476874351501","0.7511476874351501","0.7511476874351501","0.751079261302948","0.751079261302948","0.751079261302948"
"1700","0.7527169585227966","0.7527169585227966","0.7527169585227966","0.7528174519538879","0.7528174519538879","0.7528174519538879","0.7517884373664856","0.7517884373664856","0.7517884373664856","0.7514927387237549","0.7514927387237549","0.7514927387237549","0.751297116279602","0.751297116279602","0.751297116279602","0.7511616349220276","0.7511616349220276","0.7511616349220276","0.7510800361633301","0.7510800361633301","0.7510800361633301"
"1800","0.752945065498352","0.752945065498352","0.752945065498352","0.7529792785644531","0.7529792785644531","0.7529792785644531","0.7518600821495056","0.7518600821495056","0.7518600821495056","0.7515369653701782","0.7515369653701782","0.7515369653701782","0.7513255476951599","0.7513255476951599","0.7513255476951599","0.7511759400367737","0.7511759400367737","0.7511759400367737","0.7510808110237122","0.7510808110237122","0.7510808110237122"
"1900","0.753162682056427","0.753162682056427","0.753162682056427","0.7531365156173706","0.7531365156173706","0.7531365156173706","0.7519428730010986","0.7519428730010986","0.7519428730010986","0.7515799403190613","0.7515799403190613","0.7515799403190613","0.7513531446456909","0.7513531446456909","0.7513531446456909","0.7511917948722839","0.7511917948722839","0.7511917948722839","0.7510815858840942","0.7510815858840942","0.7510815858840942"
"2000","0.753363847732544","0.753363847732544","0.753363847732544","0.7532923221588135","0.7532923221588135","0.7532923221588135","0.7520265579223633","0.7520265579223633","0.7520265579223633","0.751626193523407","0.751626193523407","0.751626193523407","0.7513816356658936","0.7513816356658936","0.7513816356658936","0.7512083053588867","0.7512083053588867","0.7512083053588867","0.7510824203491211","0.7510824203491211","0.7510824203491211"
"2100","0.7535440325737","0.7535440325737","0.7535440325737","0.7534394264221191","0.7534394264221191","0.7534394264221191","0.752111554145813","0.752111554145813","0.752111554145813","0.7516734600067139","0.7516734600067139","0.7516734600067139","0.7514083981513977","0.7514083981513977","0.7514083981513977","0.7512252926826477","0.7512252926826477","0.7512252926826477","0.751083254814148","0.751083254814148","0.751083254814148"
"2200","0.7537012100219727","0.7537012100219727","0.7537012100219727","0.7535757422447205","0.7535757422447205","0.7535757422447205","0.7521990537643433","0.7521990537643433","0.7521990537643433","0.7517191767692566","0.7517191767692566","0.7517191767692566","0.751437246799469","0.751437246799469","0.751437246799469","0.7512432336807251","0.7512432336807251","0.7512432336807251","0.7510841488838196","0.7510841488838196","0.7510841488838196"
"2300","0.7538396716117859","0.7538396716117859","0.7538396716117859","0.753727376461029","0.753727376461029","0.753727376461029","0.7522860765457153","0.7522860765457153","0.7522860765457153","0.7517644166946411","0.7517644166946411","0.7517644166946411","0.7514675259590149","0.7514675259590149","0.7514675259590149","0.7512618899345398","0.7512618899345398","0.7512618899345398","0.7510849237442017","0.7510849237442017","0.7510849237442017"
"2400","0.7539704442024231","0.7539704442024231","0.7539704442024231","0.7538554668426514","0.7538554668426514","0.7538554668426514","0.7523791790008545","0.7523791790008545","0.7523791790008545","0.7518097758293152","0.7518097758293152","0.7518097758293152","0.7515003085136414","0.7515003085136414","0.7515003085136414","0.7512815594673157","0.7512815594673157","0.7512815594673157","0.7510857582092285","0.7510857582092285","0.7510857582092285"
"2500","0.7540926933288574","0.7540926933288574","0.7540926933288574","0.7539488673210144","0.7539488673210144","0.7539488673210144","0.7524686455726624","0.7524686455726624","0.7524686455726624","0.7518547177314758","0.7518547177314758","0.7518547177314758","0.7515331506729126","0.7515331506729126","0.7515331506729126","0.7513012290000916","0.7513012290000916","0.7513012290000916","0.7510866522789001","0.7510866522789001","0.7510866522789001"
"2600","0.7542161345481873","0.7542161345481873","0.7542161345481873","0.7540448904037476","0.7540448904037476","0.7540448904037476","0.7525588274002075","0.7525588274002075","0.7525588274002075","0.7519009113311768","0.7519009113311768","0.7519009113311768","0.7515680193901062","0.7515680193901062","0.7515680193901062","0.7513214349746704","0.7513214349746704","0.7513214349746704","0.751087486743927","0.751087486743927","0.751087486743927"
"2700","0.7543346881866455","0.7543346881866455","0.7543346881866455","0.7541348934173584","0.7541348934173584","0.7541348934173584","0.7526485323905945","0.7526485323905945","0.7526485323905945","0.7519457936286926","0.7519457936286926","0.7519457936286926","0.7516041398048401","0.7516041398048401","0.7516041398048401","0.7513402700424194","0.7513402700424194","0.7513402700424194","0.7510882616043091","0.7510882616043091","0.7510882616043091"
"2800","0.7544756531715393","0.7544756531715393","0.7544756531715393","0.754243791103363","0.754243791103363","0.754243791103363","0.7527357339859009","0.7527357339859009","0.7527357339859009","0.7520010471343994","0.7520010471343994","0.7520010471343994","0.7516401410102844","0.7516401410102844","0.7516401410102844","0.7513607144355774","0.7513607144355774","0.7513607144355774","0.7510890960693359","0.7510890960693359","0.7510890960693359"
"2900","0.7546679377555847","0.7546679377555847","0.7546679377555847","0.7543759942054749","0.7543759942054749","0.7543759942054749","0.7528262138366699","0.7528262138366699","0.7528262138366699","0.7520648837089539","0.7520648837089539","0.7520648837089539","0.7516736388206482","0.7516736388206482","0.7516736388206482","0.751380980014801","0.751380980014801","0.751380980014801","0.7510899305343628","0.7510899305343628","0.7510899305343628"
"3000","0.7548232078552246","0.7548232078552246","0.7548232078552246","0.754537045955658","0.754537045955658","0.754537045955658","0.752914309501648","0.752914309501648","0.752914309501648","0.7521297931671143","0.7521297931671143","0.7521297931671143","0.7517075538635254","0.7517075538635254","0.7517075538635254","0.7513998746871948","0.7513998746871948","0.7513998746871948","0.7510907649993896","0.7510907649993896","0.7510907649993896"
"3100","0.7549830675125122","0.7549830675125122","0.7549830675125122","0.7547072768211365","0.7547072768211365","0.7547072768211365","0.7530083656311035","0.7530083656311035","0.7530083656311035","0.7521952986717224","0.7521952986717224","0.7521952986717224","0.7517463564872742","0.7517463564872742","0.7517463564872742","0.7514192461967468","0.7514192461967468","0.7514192461967468","0.7510915994644165","0.7510915994644165","0.7510915994644165"
"3200","0.7551506757736206","0.7551506757736206","0.7551506757736206","0.7548812031745911","0.7548812031745911","0.7548812031745911","0.7530936598777771","0.7530936598777771","0.7530936598777771","0.7522854208946228","0.7522854208946228","0.7522854208946228","0.7517868280410767","0.7517868280410767","0.7517868280410767","0.7514408230781555","0.7514408230781555","0.7514408230781555","0.7510924339294434","0.7510924339294434","0.7510924339294434"
"3300","0.7553240060806274","0.7553240060806274","0.7553240060806274","0.7550888657569885","0.7550888657569885","0.7550888657569885","0.753173828125","0.753173828125","0.753173828125","0.7523691654205322","0.7523691654205322","0.7523691654205322","0.7518289089202881","0.7518289089202881","0.7518289089202881","0.751462996006012","0.751462996006012","0.751462996006012","0.7510930299758911","0.7510930299758911","0.7510930299758911"
"3400","0.7555220127105713","0.7555220127105713","0.7555220127105713","0.7553181648254395","0.7553181648254395","0.7553181648254395","0.7532592415809631","0.7532592415809631","0.7532592415809631","0.7524469494819641","0.7524469494819641","0.7524469494819641","0.7518749237060547","0.7518749237060547","0.7518749237060547","0.7514853477478027","0.7514853477478027","0.7514853477478027","0.7510939836502075","0.7510939836502075","0.7510939836502075"
"3500","0.7557259202003479","0.7557259202003479","0.7557259202003479","0.7555647492408752","0.7555647492408752","0.7555647492408752","0.7533455491065979","0.7533455491065979","0.7533455491065979","0.7525217533111572","0.7525217533111572","0.7525217533111572","0.7519251108169556","0.7519251108169556","0.7519251108169556","0.7515089511871338","0.7515089511871338","0.7515089511871338","0.7510948181152344","0.7510948181152344","0.7510948181152344"
