"Step","1873380_2 - train/loss_contrastive","1873380_2 - train/loss_contrastive__MIN","1873380_2 - train/loss_contrastive__MAX","4395274 - train/loss_contrastive","4395274 - train/loss_contrastive__MIN","4395274 - train/loss_contrastive__MAX","1940028_1 - train/loss_contrastive","1940028_1 - train/loss_contrastive__MIN","1940028_1 - train/loss_contrastive__MAX","4520555_1 - train/loss_contrastive","4520555_1 - train/loss_contrastive__MIN","4520555_1 - train/loss_contrastive__MAX","2536305_1 - train/loss_contrastive","2536305_1 - train/loss_contrastive__MIN","2536305_1 - train/loss_contrastive__MAX","2536333_1 - train/loss_contrastive","2536333_1 - train/loss_contrastive__MIN","2536333_1 - train/loss_contrastive__MAX","1940035_0 - train/loss_contrastive","1940035_0 - train/loss_contrastive__MIN","1940035_0 - train/loss_contrastive__MAX"
"1100","11212.6845703125","11212.6845703125","11212.6845703125","11447.8623046875","11447.8623046875","11447.8623046875","11435.7890625","11435.7890625","11435.7890625","12566.236328125","12566.236328125","12566.236328125","11176.2470703125","11176.2470703125","11176.2470703125","13188.2939453125","13188.2939453125","13188.2939453125","7886.07861328125","7886.07861328125","7886.07861328125"
"1200","11559.0654296875","11559.0654296875","11559.0654296875","11423.1552734375","11423.1552734375","11423.1552734375","12039.5224609375","12039.5224609375","12039.5224609375","12418.62890625","12418.62890625","12418.62890625","11453.7451171875","11453.7451171875","11453.7451171875","13196.2958984375","13196.2958984375","13196.2958984375","7854.884765625","7854.884765625","7854.884765625"
"1300","11459.4228515625","11459.4228515625","11459.4228515625","11383.6376953125","11383.6376953125","11383.6376953125","11711.14453125","11711.14453125","11711.14453125","12165.041015625","12165.041015625","12165.041015625","12205.57421875","12205.57421875","12205.57421875","13109.5224609375","13109.5224609375","13109.5224609375","7910.52197265625","7910.52197265625","7910.52197265625"
"1400","11354.884765625","11354.884765625","11354.884765625","11301.6953125","11301.6953125","11301.6953125","11721.267578125","11721.267578125","11721.267578125","11921.103515625","11921.103515625","11921.103515625","12557.509765625","12557.509765625","12557.509765625","12974.322265625","12974.322265625","12974.322265625","7887.63232421875","7887.63232421875","7887.63232421875"
"1500","11255.837890625","11255.837890625","11255.837890625","11105.1708984375","11105.1708984375","11105.1708984375","11744.16015625","11744.16015625","11744.16015625","11986.73046875","11986.73046875","11986.73046875","12475.14453125","12475.14453125","12475.14453125","12956.8046875","12956.8046875","12956.8046875","7891.01513671875","7891.01513671875","7891.01513671875"
"1600","11119.03515625","11119.03515625","11119.03515625","11036.6474609375","11036.6474609375","11036.6474609375","11592.2646484375","11592.2646484375","11592.2646484375","12143.775390625","12143.775390625","12143.775390625","12046.2861328125","12046.2861328125","12046.2861328125","12831.6826171875","12831.6826171875","12831.6826171875","7891.46484375","7891.46484375","7891.46484375"
"1700","11108.3447265625","11108.3447265625","11108.3447265625","11081.572265625","11081.572265625","11081.572265625","11746.3095703125","11746.3095703125","11746.3095703125","11937.255859375","11937.255859375","11937.255859375","12336.798828125","12336.798828125","12336.798828125","12538.1689453125","12538.1689453125","12538.1689453125","7962.41552734375","7962.41552734375","7962.41552734375"
"1800","11250.3173828125","11250.3173828125","11250.3173828125","10939.384765625","10939.384765625","10939.384765625","11763.349609375","11763.349609375","11763.349609375","11774.9462890625","11774.9462890625","11774.9462890625","12061.4970703125","12061.4970703125","12061.4970703125","12442.5283203125","12442.5283203125","12442.5283203125","7927.22802734375","7927.22802734375","7927.22802734375"
"1900","10966.7041015625","10966.7041015625","10966.7041015625","10908.3837890625","10908.3837890625","10908.3837890625","11496.3720703125","11496.3720703125","11496.3720703125","11586.0048828125","11586.0048828125","11586.0048828125","12104.6708984375","12104.6708984375","12104.6708984375","12013.056640625","12013.056640625","12013.056640625","7923.93017578125","7923.93017578125","7923.93017578125"
"2000","11009.400390625","11009.400390625","11009.400390625","10685.896484375","10685.896484375","10685.896484375","11710.5087890625","11710.5087890625","11710.5087890625","11514.15234375","11514.15234375","11514.15234375","12415.384765625","12415.384765625","12415.384765625","10983.6611328125","10983.6611328125","10983.6611328125","7998.92138671875","7998.92138671875","7998.92138671875"
"2100","10751.103515625","10751.103515625","10751.103515625","10646.4765625","10646.4765625","10646.4765625","11526.0546875","11526.0546875","11526.0546875","11624.08984375","11624.08984375","11624.08984375","12458.7060546875","12458.7060546875","12458.7060546875","10936.35546875","10936.35546875","10936.35546875","7982.2607421875","7982.2607421875","7982.2607421875"
"2200","10553.3720703125","10553.3720703125","10553.3720703125","10635.1923828125","10635.1923828125","10635.1923828125","11681.7109375","11681.7109375","11681.7109375","11448.9326171875","11448.9326171875","11448.9326171875","12483.78515625","12483.78515625","12483.78515625","10739.8740234375","10739.8740234375","10739.8740234375","7923.78125","7923.78125","7923.78125"
"2300","10747.6875","10747.6875","10747.6875","10616.9248046875","10616.9248046875","10616.9248046875","11565.2548828125","11565.2548828125","11565.2548828125","11447.4521484375","11447.4521484375","11447.4521484375","12457.146484375","12457.146484375","12457.146484375","10960.0458984375","10960.0458984375","10960.0458984375","7955.2431640625","7955.2431640625","7955.2431640625"
"2400","10897.3173828125","10897.3173828125","10897.3173828125","10563.84375","10563.84375","10563.84375","11390.40234375","11390.40234375","11390.40234375","11486.7412109375","11486.7412109375","11486.7412109375","12471.9658203125","12471.9658203125","12471.9658203125","11379.62109375","11379.62109375","11379.62109375","7949.67919921875","7949.67919921875","7949.67919921875"
"2500","10694.3828125","10694.3828125","10694.3828125","10444.935546875","10444.935546875","10444.935546875","10779.9521484375","10779.9521484375","10779.9521484375","11591.587890625","11591.587890625","11591.587890625","12240.6875","12240.6875","12240.6875","11720.2138671875","11720.2138671875","11720.2138671875","7959.4462890625","7959.4462890625","7959.4462890625"
"2600","10401.0380859375","10401.0380859375","10401.0380859375","10436.353515625","10436.353515625","10436.353515625","11410.7646484375","11410.7646484375","11410.7646484375","11641.2783203125","11641.2783203125","11641.2783203125","12137.6220703125","12137.6220703125","12137.6220703125","12167.0302734375","12167.0302734375","12167.0302734375","7934.35693359375","7934.35693359375","7934.35693359375"
"2700","10314.6279296875","10314.6279296875","10314.6279296875","10490.9091796875","10490.9091796875","10490.9091796875","11468.9775390625","11468.9775390625","11468.9775390625","11624.9052734375","11624.9052734375","11624.9052734375","11880.8154296875","11880.8154296875","11880.8154296875","12256.06640625","12256.06640625","12256.06640625","7976.63330078125","7976.63330078125","7976.63330078125"
"2800","10383.8974609375","10383.8974609375","10383.8974609375","10344.5986328125","10344.5986328125","10344.5986328125","11084.24609375","11084.24609375","11084.24609375","11472.365234375","11472.365234375","11472.365234375","11545.3916015625","11545.3916015625","11545.3916015625","12381.8359375","12381.8359375","12381.8359375","7987.9287109375","7987.9287109375","7987.9287109375"
"2900","10663.3720703125","10663.3720703125","10663.3720703125","10284.8583984375","10284.8583984375","10284.8583984375","11115.2275390625","11115.2275390625","11115.2275390625","11350.232421875","11350.232421875","11350.232421875","11433.28125","11433.28125","11433.28125","12203.15234375","12203.15234375","12203.15234375","7984.23876953125","7984.23876953125","7984.23876953125"
"3000","10403.298828125","10403.298828125","10403.298828125","10335.44140625","10335.44140625","10335.44140625","10734.7939453125","10734.7939453125","10734.7939453125","11208.9365234375","11208.9365234375","11208.9365234375","10777.7666015625","10777.7666015625","10777.7666015625","12252.4091796875","12252.4091796875","12252.4091796875","8016.56201171875","8016.56201171875","8016.56201171875"
"3100","10377.32421875","10377.32421875","10377.32421875","10159.509765625","10159.509765625","10159.509765625","10905.1748046875","10905.1748046875","10905.1748046875","11241.830078125","11241.830078125","11241.830078125","11383.92578125","11383.92578125","11383.92578125","11872.19921875","11872.19921875","11872.19921875","7959.47802734375","7959.47802734375","7959.47802734375"
"3200","10375.7275390625","10375.7275390625","10375.7275390625","10205.4140625","10205.4140625","10205.4140625","11015.544921875","11015.544921875","11015.544921875","11331.07421875","11331.07421875","11331.07421875","11660.3828125","11660.3828125","11660.3828125","11696.646484375","11696.646484375","11696.646484375","7415.05419921875","7415.05419921875","7415.05419921875"
"3300","10326.84765625","10326.84765625","10326.84765625","10060.8359375","10060.8359375","10060.8359375","10477.8896484375","10477.8896484375","10477.8896484375","11389.72265625","11389.72265625","11389.72265625","11761.20703125","11761.20703125","11761.20703125","12014.7666015625","12014.7666015625","12014.7666015625","6742.52978515625","6742.52978515625","6742.52978515625"
"3400","10424.7060546875","10424.7060546875","10424.7060546875","9993.5146484375","9993.5146484375","9993.5146484375","10359.6796875","10359.6796875","10359.6796875","11282.3095703125","11282.3095703125","11282.3095703125","11738.521484375","11738.521484375","11738.521484375","12069.3349609375","12069.3349609375","12069.3349609375","6556.07958984375","6556.07958984375","6556.07958984375"
"3500","10167.31640625","10167.31640625","10167.31640625","9982.2353515625","9982.2353515625","9982.2353515625","10710.5810546875","10710.5810546875","10710.5810546875","11295.5947265625","11295.5947265625","11295.5947265625","11766.4052734375","11766.4052734375","11766.4052734375","11923.6748046875","11923.6748046875","11923.6748046875","6636.97265625","6636.97265625","6636.97265625"
"3600","10250.7265625","10250.7265625","10250.7265625","9968.7900390625","9968.7900390625","9968.7900390625","10688.26953125","10688.26953125","10688.26953125","11191.2421875","11191.2421875","11191.2421875","11649.681640625","11649.681640625","11649.681640625","11572.9873046875","11572.9873046875","11572.9873046875","7058.251953125","7058.251953125","7058.251953125"
"3700","9967.6865234375","9967.6865234375","9967.6865234375","10038.3349609375","10038.3349609375","10038.3349609375","10514.9541015625","10514.9541015625","10514.9541015625","10930.1123046875","10930.1123046875","10930.1123046875","11654.513671875","11654.513671875","11654.513671875","11723.4453125","11723.4453125","11723.4453125","7477.91552734375","7477.91552734375","7477.91552734375"
"3800","10052.19140625","10052.19140625","10052.19140625","9807.4423828125","9807.4423828125","9807.4423828125","10700.6396484375","10700.6396484375","10700.6396484375","10877.5302734375","10877.5302734375","10877.5302734375","11567.3359375","11567.3359375","11567.3359375","11838.3359375","11838.3359375","11838.3359375","7823.59521484375","7823.59521484375","7823.59521484375"
"3900","9886.1328125","9886.1328125","9886.1328125","9620.85546875","9620.85546875","9620.85546875","10869.8876953125","10869.8876953125","10869.8876953125","10874.6298828125","10874.6298828125","10874.6298828125","11607.8125","11607.8125","11607.8125","12042.763671875","12042.763671875","12042.763671875","7892.54443359375","7892.54443359375","7892.54443359375"
"4000","9975.8935546875","9975.8935546875","9975.8935546875","9773.8896484375","9773.8896484375","9773.8896484375","10484.5625","10484.5625","10484.5625","10892.0595703125","10892.0595703125","10892.0595703125","11717.607421875","11717.607421875","11717.607421875","12094.6689453125","12094.6689453125","12094.6689453125","7894.14892578125","7894.14892578125","7894.14892578125"
"4100","10048.65234375","10048.65234375","10048.65234375","9808.9853515625","9808.9853515625","9808.9853515625","10726.6904296875","10726.6904296875","10726.6904296875","10804.62890625","10804.62890625","10804.62890625","11729.33984375","11729.33984375","11729.33984375","12082.419921875","12082.419921875","12082.419921875","8015.96240234375","8015.96240234375","8015.96240234375"
"4200","9946.00390625","9946.00390625","9946.00390625","9677.9599609375","9677.9599609375","9677.9599609375","10703.8720703125","10703.8720703125","10703.8720703125","10506.2939453125","10506.2939453125","10506.2939453125","11364.6279296875","11364.6279296875","11364.6279296875","12145.04296875","12145.04296875","12145.04296875","8020.25390625","8020.25390625","8020.25390625"
"4300","9711.2109375","9711.2109375","9711.2109375","9660.84375","9660.84375","9660.84375","10857.17578125","10857.17578125","10857.17578125","10476.3671875","10476.3671875","10476.3671875","11381.369140625","11381.369140625","11381.369140625","12165.423828125","12165.423828125","12165.423828125","8097.70703125","8097.70703125","8097.70703125"
"4400","9848.181640625","9848.181640625","9848.181640625","9504.2041015625","9504.2041015625","9504.2041015625","10871.369140625","10871.369140625","10871.369140625","10719.91796875","10719.91796875","10719.91796875","11338.619140625","11338.619140625","11338.619140625","12131.58203125","12131.58203125","12131.58203125","8001.68310546875","8001.68310546875","8001.68310546875"
"4500","9677.9052734375","9677.9052734375","9677.9052734375","9590.6435546875","9590.6435546875","9590.6435546875","10725.4228515625","10725.4228515625","10725.4228515625","10983.03515625","10983.03515625","10983.03515625","11367.1640625","11367.1640625","11367.1640625","12106.7958984375","12106.7958984375","12106.7958984375","7989.06982421875","7989.06982421875","7989.06982421875"
"4600","9658.537109375","9658.537109375","9658.537109375","9594.7421875","9594.7421875","9594.7421875","10533.181640625","10533.181640625","10533.181640625","11006.8828125","11006.8828125","11006.8828125","11395.986328125","11395.986328125","11395.986328125","12160.2314453125","12160.2314453125","12160.2314453125","8044.810546875","8044.810546875","8044.810546875"
"4700","9717.9951171875","9717.9951171875","9717.9951171875","9624.0234375","9624.0234375","9624.0234375","10472.4404296875","10472.4404296875","10472.4404296875","10988.98046875","10988.98046875","10988.98046875","11173.5810546875","11173.5810546875","11173.5810546875","12151.9638671875","12151.9638671875","12151.9638671875","8081.73876953125","8081.73876953125","8081.73876953125"
"4800","9600.9990234375","9600.9990234375","9600.9990234375","9471.4140625","9471.4140625","9471.4140625","10035.1748046875","10035.1748046875","10035.1748046875","10789.0673828125","10789.0673828125","10789.0673828125","11114.62890625","11114.62890625","11114.62890625","12138.81640625","12138.81640625","12138.81640625","8114.9638671875","8114.9638671875","8114.9638671875"
"4900","9601.4375","9601.4375","9601.4375","9432.1416015625","9432.1416015625","9432.1416015625","10468.9287109375","10468.9287109375","10468.9287109375","10630.41796875","10630.41796875","10630.41796875","10727.951171875","10727.951171875","10727.951171875","11983.7763671875","11983.7763671875","11983.7763671875","8097.36865234375","8097.36865234375","8097.36865234375"
"5000","9601.703125","9601.703125","9601.703125","9465.6318359375","9465.6318359375","9465.6318359375","10537.5625","10537.5625","10537.5625","10745.009765625","10745.009765625","10745.009765625","10953.57421875","10953.57421875","10953.57421875","11865.0185546875","11865.0185546875","11865.0185546875","8037.30810546875","8037.30810546875","8037.30810546875"
"5100","9492.1435546875","9492.1435546875","9492.1435546875","9410.8330078125","9410.8330078125","9410.8330078125","10425.38671875","10425.38671875","10425.38671875","11033.2001953125","11033.2001953125","11033.2001953125","11031.4375","11031.4375","11031.4375","11828.818359375","11828.818359375","11828.818359375","7836.04736328125","7836.04736328125","7836.04736328125"
"5200","9552.5966796875","9552.5966796875","9552.5966796875","9229.39453125","9229.39453125","9229.39453125","10159.38671875","10159.38671875","10159.38671875","10846.3251953125","10846.3251953125","10846.3251953125","10849.2666015625","10849.2666015625","10849.2666015625","11806.7041015625","11806.7041015625","11806.7041015625","7572.37353515625","7572.37353515625","7572.37353515625"
"5300","9571.4912109375","9571.4912109375","9571.4912109375","9243.84375","9243.84375","9243.84375","10439.4423828125","10439.4423828125","10439.4423828125","10744.4609375","10744.4609375","10744.4609375","10882.9462890625","10882.9462890625","10882.9462890625","11817.3740234375","11817.3740234375","11817.3740234375","7835.08544921875","7835.08544921875","7835.08544921875"
"5400","9351.349609375","9351.349609375","9351.349609375","9310.099609375","9310.099609375","9310.099609375","10296.30078125","10296.30078125","10296.30078125","10775.369140625","10775.369140625","10775.369140625","11025.9326171875","11025.9326171875","11025.9326171875","11320.1396484375","11320.1396484375","11320.1396484375","7894.1220703125","7894.1220703125","7894.1220703125"
"5500","9439.1357421875","9439.1357421875","9439.1357421875","9304.0400390625","9304.0400390625","9304.0400390625","10354.0908203125","10354.0908203125","10354.0908203125","10758.298828125","10758.298828125","10758.298828125","11030.7041015625","11030.7041015625","11030.7041015625","11275.0498046875","11275.0498046875","11275.0498046875","7763.93115234375","7763.93115234375","7763.93115234375"
"5600","9472.5810546875","9472.5810546875","9472.5810546875","9261.35546875","9261.35546875","9261.35546875","10336.7412109375","10336.7412109375","10336.7412109375","10634.7724609375","10634.7724609375","10634.7724609375","11048.4541015625","11048.4541015625","11048.4541015625","11240.5185546875","11240.5185546875","11240.5185546875","7825.60009765625","7825.60009765625","7825.60009765625"
"5700","9361.8642578125","9361.8642578125","9361.8642578125","9168.1396484375","9168.1396484375","9168.1396484375","10443.8662109375","10443.8662109375","10443.8662109375","10615.2587890625","10615.2587890625","10615.2587890625","11114.3916015625","11114.3916015625","11114.3916015625","11239.169921875","11239.169921875","11239.169921875","7995.8525390625","7995.8525390625","7995.8525390625"
"5800","9201.5322265625","9201.5322265625","9201.5322265625","9262.78515625","9262.78515625","9262.78515625","10143.2216796875","10143.2216796875","10143.2216796875","10651.4951171875","10651.4951171875","10651.4951171875","11195.3779296875","11195.3779296875","11195.3779296875","10997.9033203125","10997.9033203125","10997.9033203125","7972.33984375","7972.33984375","7972.33984375"
"5900","9206.6552734375","9206.6552734375","9206.6552734375","9118.587890625","9118.587890625","9118.587890625","10342.916015625","10342.916015625","10342.916015625","10679.78515625","10679.78515625","10679.78515625","11244.4208984375","11244.4208984375","11244.4208984375","10551.822265625","10551.822265625","10551.822265625","7945.80419921875","7945.80419921875","7945.80419921875"
"6000","9306.89453125","9306.89453125","9306.89453125","9009.4833984375","9009.4833984375","9009.4833984375","10085.5751953125","10085.5751953125","10085.5751953125","10521.0849609375","10521.0849609375","10521.0849609375","10811.462890625","10811.462890625","10811.462890625","10437.6484375","10437.6484375","10437.6484375","8026.31298828125","8026.31298828125","8026.31298828125"
"6100","9213.2001953125","9213.2001953125","9213.2001953125","9067.1171875","9067.1171875","9067.1171875","9776.3515625","9776.3515625","9776.3515625","10482.572265625","10482.572265625","10482.572265625","10963.2236328125","10963.2236328125","10963.2236328125","10911.4111328125","10911.4111328125","10911.4111328125","8082.70361328125","8082.70361328125","8082.70361328125"
"6200","9269.95703125","9269.95703125","9269.95703125","9051.818359375","9051.818359375","9051.818359375","10104.6591796875","10104.6591796875","10104.6591796875","10511.7158203125","10511.7158203125","10511.7158203125","11301.1416015625","11301.1416015625","11301.1416015625","11240.619140625","11240.619140625","11240.619140625","8113.517578125","8113.517578125","8113.517578125"
"6300","8806.576171875","8806.576171875","8806.576171875","9014.7470703125","9014.7470703125","9014.7470703125","10142.509765625","10142.509765625","10142.509765625","10522.6708984375","10522.6708984375","10522.6708984375","11055.03125","11055.03125","11055.03125","11294.0263671875","11294.0263671875","11294.0263671875","8177.27978515625","8177.27978515625","8177.27978515625"
"6400","8977.6396484375","8977.6396484375","8977.6396484375","8893.453125","8893.453125","8893.453125","10070.3828125","10070.3828125","10070.3828125","10449.4453125","10449.4453125","10449.4453125","11208.21484375","11208.21484375","11208.21484375","11390.9677734375","11390.9677734375","11390.9677734375","8173.7998046875","8173.7998046875","8173.7998046875"
"6500","9308.240234375","9308.240234375","9308.240234375","8993.84765625","8993.84765625","8993.84765625","10094.9677734375","10094.9677734375","10094.9677734375","10380.650390625","10380.650390625","10380.650390625","11169.162109375","11169.162109375","11169.162109375","11451.759765625","11451.759765625","11451.759765625","8210.3330078125","8210.3330078125","8210.3330078125"
"6600","9159.677734375","9159.677734375","9159.677734375","8914.9365234375","8914.9365234375","8914.9365234375","9898.2763671875","9898.2763671875","9898.2763671875","10432.41015625","10432.41015625","10432.41015625","11212.650390625","11212.650390625","11212.650390625","11286.728515625","11286.728515625","11286.728515625","8221.365234375","8221.365234375","8221.365234375"
"6700","9168.3583984375","9168.3583984375","9168.3583984375","8850.58203125","8850.58203125","8850.58203125","9786.953125","9786.953125","9786.953125","10482.111328125","10482.111328125","10482.111328125","10939.0634765625","10939.0634765625","10939.0634765625","11306.0341796875","11306.0341796875","11306.0341796875","8282.556640625","8282.556640625","8282.556640625"
"6800","9102.0029296875","9102.0029296875","9102.0029296875","8772.255859375","8772.255859375","8772.255859375","9925.3984375","9925.3984375","9925.3984375","10479.28515625","10479.28515625","10479.28515625","10523.677734375","10523.677734375","10523.677734375","11365.0849609375","11365.0849609375","11365.0849609375","8290.017578125","8290.017578125","8290.017578125"
"6900","8983.5244140625","8983.5244140625","8983.5244140625","8686.6103515625","8686.6103515625","8686.6103515625","10060.61328125","10060.61328125","10060.61328125","10514.3076171875","10514.3076171875","10514.3076171875","10861.6015625","10861.6015625","10861.6015625","11350.0263671875","11350.0263671875","11350.0263671875","8311.134765625","8311.134765625","8311.134765625"
"7000","8901.6650390625","8901.6650390625","8901.6650390625","8854.50390625","8854.50390625","8854.50390625","10032.193359375","10032.193359375","10032.193359375","10550.6748046875","10550.6748046875","10550.6748046875","10921.423828125","10921.423828125","10921.423828125","11386.4453125","11386.4453125","11386.4453125","8336.2783203125","8336.2783203125","8336.2783203125"
"7100","8955.7353515625","8955.7353515625","8955.7353515625","8861.59375","8861.59375","8861.59375","9893.3525390625","9893.3525390625","9893.3525390625","10554.9873046875","10554.9873046875","10554.9873046875","10975.4833984375","10975.4833984375","10975.4833984375","11229.1650390625","11229.1650390625","11229.1650390625","8356.9765625","8356.9765625","8356.9765625"
"7200","8949.212890625","8949.212890625","8949.212890625","8589.734375","8589.734375","8589.734375","9930.6220703125","9930.6220703125","9930.6220703125","10532.8310546875","10532.8310546875","10532.8310546875","10521.7978515625","10521.7978515625","10521.7978515625","11191.64453125","11191.64453125","11191.64453125","8332.3564453125","8332.3564453125","8332.3564453125"
"7300","8818.8271484375","8818.8271484375","8818.8271484375","8712.7412109375","8712.7412109375","8712.7412109375","9930.7587890625","9930.7587890625","9930.7587890625","10417.4951171875","10417.4951171875","10417.4951171875","10697.28125","10697.28125","10697.28125","11201.6611328125","11201.6611328125","11201.6611328125","8342.6357421875","8342.6357421875","8342.6357421875"
"7400","8874.5634765625","8874.5634765625","8874.5634765625","8708.708984375","8708.708984375","8708.708984375","9877.69921875","9877.69921875","9877.69921875","10430.2958984375","10430.2958984375","10430.2958984375","11043.4072265625","11043.4072265625","11043.4072265625","11210.3408203125","11210.3408203125","11210.3408203125","8368.06640625","8368.06640625","8368.06640625"
"7500","8860.3515625","8860.3515625","8860.3515625","8677.6279296875","8677.6279296875","8677.6279296875","9876.853515625","9876.853515625","9876.853515625","10117.0615234375","10117.0615234375","10117.0615234375","11005.3759765625","11005.3759765625","11005.3759765625","11291.982421875","11291.982421875","11291.982421875","8355.375","8355.375","8355.375"
"7600","8759.7265625","8759.7265625","8759.7265625","8569.4150390625","8569.4150390625","8569.4150390625","9730.1279296875","9730.1279296875","9730.1279296875","10083.892578125","10083.892578125","10083.892578125","10912.5595703125","10912.5595703125","10912.5595703125","10912.712890625","10912.712890625","10912.712890625","8347.64453125","8347.64453125","8347.64453125"
"7700","8907.4345703125","8907.4345703125","8907.4345703125","8577.822265625","8577.822265625","8577.822265625","9732.21875","9732.21875","9732.21875","10216.79296875","10216.79296875","10216.79296875","10962.80078125","10962.80078125","10962.80078125","11131.4248046875","11131.4248046875","11131.4248046875","8373.333984375","8373.333984375","8373.333984375"
"7800","8511.3388671875","8511.3388671875","8511.3388671875","8631.2431640625","8631.2431640625","8631.2431640625","9315.0283203125","9315.0283203125","9315.0283203125","10297.1396484375","10297.1396484375","10297.1396484375","10931.8466796875","10931.8466796875","10931.8466796875","11209.041015625","11209.041015625","11209.041015625","8386.1669921875","8386.1669921875","8386.1669921875"
"7900","8678.9287109375","8678.9287109375","8678.9287109375","8508.330078125","8508.330078125","8508.330078125","9145.2529296875","9145.2529296875","9145.2529296875","10318.509765625","10318.509765625","10318.509765625","11000.01171875","11000.01171875","11000.01171875","11283.4091796875","11283.4091796875","11283.4091796875","8407.4072265625","8407.4072265625","8407.4072265625"
"8000","8857.6572265625","8857.6572265625","8857.6572265625","8508.6494140625","8508.6494140625","8508.6494140625","9612.2412109375","9612.2412109375","9612.2412109375","10202.625","10202.625","10202.625","10554.4638671875","10554.4638671875","10554.4638671875","11267.556640625","11267.556640625","11267.556640625","8423.7763671875","8423.7763671875","8423.7763671875"
"8100","8835.5302734375","8835.5302734375","8835.5302734375","8515.525390625","8515.525390625","8515.525390625","9112.697265625","9112.697265625","9112.697265625","10115.3759765625","10115.3759765625","10115.3759765625","10861.4921875","10861.4921875","10861.4921875","11310.150390625","11310.150390625","11310.150390625","8389.3671875","8389.3671875","8389.3671875"
