"Step","1873380_2 - similarity_cb0_max","1873380_2 - similarity_cb0_max__MIN","1873380_2 - similarity_cb0_max__MAX","4395274 - similarity_cb0_max","4395274 - similarity_cb0_max__MIN","4395274 - similarity_cb0_max__MAX","1940028_1 - similarity_cb0_max","1940028_1 - similarity_cb0_max__MIN","1940028_1 - similarity_cb0_max__MAX","4520555_1 - similarity_cb0_max","4520555_1 - similarity_cb0_max__MIN","4520555_1 - similarity_cb0_max__MAX","2536305_1 - similarity_cb0_max","2536305_1 - similarity_cb0_max__MIN","2536305_1 - similarity_cb0_max__MAX","2536333_1 - similarity_cb0_max","2536333_1 - similarity_cb0_max__MIN","2536333_1 - similarity_cb0_max__MAX","1940035_0 - similarity_cb0_max","1940035_0 - similarity_cb0_max__MIN","1940035_0 - similarity_cb0_max__MAX"
"100","0.850294291973114","0.850294291973114","0.850294291973114","0.8502979278564453","0.8502979278564453","0.8502979278564453","0.8502761125564575","0.8502761125564575","0.8502761125564575","0.8502694368362427","0.8502694368362427","0.8502694368362427","0.8502650260925293","0.8502650260925293","0.8502650260925293","0.8502634763717651","0.8502634763717651","0.8502634763717651","0.8502630591392517","0.8502630591392517","0.8502630591392517"
"200","0.850322961807251","0.850322961807251","0.850322961807251","0.8503383994102478","0.8503383994102478","0.8503383994102478","0.8502953052520752","0.8502953052520752","0.8502953052520752","0.850283145904541","0.850283145904541","0.850283145904541","0.8502706289291382","0.8502706289291382","0.8502706289291382","0.8502649068832397","0.8502649068832397","0.8502649068832397","0.8502634167671204","0.8502634167671204","0.8502634167671204"
"300","0.8503358364105225","0.8503358364105225","0.8503358364105225","0.8503544330596924","0.8503544330596924","0.8503544330596924","0.8503149747848511","0.8503149747848511","0.8503149747848511","0.8502930402755737","0.8502930402755737","0.8502930402755737","0.8502761125564575","0.8502761125564575","0.8502761125564575","0.8502676486968994","0.8502676486968994","0.8502676486968994","0.8502641916275024","0.8502641916275024","0.8502641916275024"
"400","0.8504049777984619","0.8504049777984619","0.8504049777984619","0.8504471182823181","0.8504471182823181","0.8504471182823181","0.8503205180168152","0.8503205180168152","0.8503205180168152","0.8502976894378662","0.8502976894378662","0.8502976894378662","0.8502839803695679","0.8502839803695679","0.8502839803695679","0.8502730131149292","0.8502730131149292","0.8502730131149292","0.8502645492553711","0.8502645492553711","0.8502645492553711"
"500","0.8504436016082764","0.8504436016082764","0.8504436016082764","0.8504791259765625","0.8504791259765625","0.8504791259765625","0.8503475189208984","0.8503475189208984","0.8503475189208984","0.8503037691116333","0.8503037691116333","0.8503037691116333","0.8502929210662842","0.8502929210662842","0.8502929210662842","0.8502763509750366","0.8502763509750366","0.8502763509750366","0.8502650260925293","0.8502650260925293","0.8502650260925293"
"600","0.8504750728607178","0.8504750728607178","0.8504750728607178","0.850517988204956","0.850517988204956","0.850517988204956","0.8503334522247314","0.8503334522247314","0.8503334522247314","0.8503256440162659","0.8503256440162659","0.8503256440162659","0.8502993583679199","0.8502993583679199","0.8502993583679199","0.8502799272537231","0.8502799272537231","0.8502799272537231","0.850265622138977","0.850265622138977","0.850265622138977"
"700","0.8505308032035828","0.8505308032035828","0.8505308032035828","0.8505722880363464","0.8505722880363464","0.8505722880363464","0.8503572940826416","0.8503572940826416","0.8503572940826416","0.8503186702728271","0.8503186702728271","0.8503186702728271","0.8503031134605408","0.8503031134605408","0.8503031134605408","0.8502824306488037","0.8502824306488037","0.8502824306488037","0.8502662777900696","0.8502662777900696","0.8502662777900696"
"800","0.8506312966346741","0.8506312966346741","0.8506312966346741","0.8506866693496704","0.8506866693496704","0.8506866693496704","0.850378692150116","0.850378692150116","0.850378692150116","0.8503135442733765","0.8503135442733765","0.8503135442733765","0.8503153324127197","0.8503153324127197","0.8503153324127197","0.8502861261367798","0.8502861261367798","0.8502861261367798","0.8502665162086487","0.8502665162086487","0.8502665162086487"
"900","0.8506693243980408","0.8506693243980408","0.8506693243980408","0.8505947589874268","0.8505947589874268","0.8505947589874268","0.8504120707511902","0.8504120707511902","0.8504120707511902","0.850318431854248","0.850318431854248","0.850318431854248","0.8503366112709045","0.8503366112709045","0.8503366112709045","0.8502922058105469","0.8502922058105469","0.8502922058105469","0.8502669930458069","0.8502669930458069","0.8502669930458069"
"1000","0.8505268096923828","0.8505268096923828","0.8505268096923828","0.850431501865387","0.850431501865387","0.850431501865387","0.8504716157913208","0.8504716157913208","0.8504716157913208","0.850334882736206","0.850334882736206","0.850334882736206","0.8503333926200867","0.8503333926200867","0.8503333926200867","0.850292444229126","0.850292444229126","0.850292444229126","0.8502670526504517","0.8502670526504517","0.8502670526504517"
"1100","0.8502639532089233","0.8502639532089233","0.8502639532089233","0.8501843810081482","0.8501843810081482","0.8501843810081482","0.8505142331123352","0.8505142331123352","0.8505142331123352","0.8503533005714417","0.8503533005714417","0.8503533005714417","0.8503305315971375","0.8503305315971375","0.8503305315971375","0.8502970933914185","0.8502970933914185","0.8502970933914185","0.8502677083015442","0.8502677083015442","0.8502677083015442"
"1200","0.849862277507782","0.849862277507782","0.849862277507782","0.8502691984176636","0.8502691984176636","0.8502691984176636","0.8505703210830688","0.8505703210830688","0.8505703210830688","0.8503686189651489","0.8503686189651489","0.8503686189651489","0.8503355979919434","0.8503355979919434","0.8503355979919434","0.8503230214118958","0.8503230214118958","0.8503230214118958","0.8502680063247681","0.8502680063247681","0.8502680063247681"
"1300","0.8499752283096313","0.8499752283096313","0.8499752283096313","0.850567638874054","0.850567638874054","0.850567638874054","0.8506414294242859","0.8506414294242859","0.8506414294242859","0.8503824472427368","0.8503824472427368","0.8503824472427368","0.8503363132476807","0.8503363132476807","0.8503363132476807","0.8503240346908569","0.8503240346908569","0.8503240346908569","0.8502679467201233","0.8502679467201233","0.8502679467201233"
"1400","0.8498509526252747","0.8498509526252747","0.8498509526252747","0.850890040397644","0.850890040397644","0.850890040397644","0.8506888151168823","0.8506888151168823","0.8506888151168823","0.8503906726837158","0.8503906726837158","0.8503906726837158","0.8503444194793701","0.8503444194793701","0.8503444194793701","0.8503169417381287","0.8503169417381287","0.8503169417381287","0.8502684831619263","0.8502684831619263","0.8502684831619263"
"1500","0.8497902750968933","0.8497902750968933","0.8497902750968933","0.8511425256729126","0.8511425256729126","0.8511425256729126","0.8506965637207031","0.8506965637207031","0.8506965637207031","0.8504128456115723","0.8504128456115723","0.8504128456115723","0.8503465056419373","0.8503465056419373","0.8503465056419373","0.850313663482666","0.850313663482666","0.850313663482666","0.8502699136734009","0.8502699136734009","0.8502699136734009"
"1600","0.8496898412704468","0.8496898412704468","0.8496898412704468","0.8515671491622925","0.8515671491622925","0.8515671491622925","0.8507214784622192","0.8507214784622192","0.8507214784622192","0.8504302501678467","0.8504302501678467","0.8504302501678467","0.8503586053848267","0.8503586053848267","0.8503586053848267","0.8503165245056152","0.8503165245056152","0.8503165245056152","0.8502707481384277","0.8502707481384277","0.8502707481384277"
"1700","0.8497867584228516","0.8497867584228516","0.8497867584228516","0.8520348072052002","0.8520348072052002","0.8520348072052002","0.8507501482963562","0.8507501482963562","0.8507501482963562","0.8504531383514404","0.8504531383514404","0.8504531383514404","0.8503730297088623","0.8503730297088623","0.8503730297088623","0.8503156304359436","0.8503156304359436","0.8503156304359436","0.8502709865570068","0.8502709865570068","0.8502709865570068"
"1800","0.8503848910331726","0.8503848910331726","0.8503848910331726","0.852460503578186","0.852460503578186","0.852460503578186","0.8508374094963074","0.8508374094963074","0.8508374094963074","0.850443959236145","0.850443959236145","0.850443959236145","0.8503913879394531","0.8503913879394531","0.8503913879394531","0.8503133058547974","0.8503133058547974","0.8503133058547974","0.8502709865570068","0.8502709865570068","0.8502709865570068"
"1900","0.8508821725845337","0.8508821725845337","0.8508821725845337","0.8527580499649048","0.8527580499649048","0.8527580499649048","0.8510297536849976","0.8510297536849976","0.8510297536849976","0.85041344165802","0.85041344165802","0.85041344165802","0.8504329919815063","0.8504329919815063","0.8504329919815063","0.8503239750862122","0.8503239750862122","0.8503239750862122","0.8502722978591919","0.8502722978591919","0.8502722978591919"
"2000","0.8513126373291016","0.8513126373291016","0.8513126373291016","0.8530336618423462","0.8530336618423462","0.8530336618423462","0.8511890172958374","0.8511890172958374","0.8511890172958374","0.8504246473312378","0.8504246473312378","0.8504246473312378","0.8504728078842163","0.8504728078842163","0.8504728078842163","0.8503267168998718","0.8503267168998718","0.8503267168998718","0.8502728343009949","0.8502728343009949","0.8502728343009949"
"2100","0.8517215251922607","0.8517215251922607","0.8517215251922607","0.8531482219696045","0.8531482219696045","0.8531482219696045","0.8513299226760864","0.8513299226760864","0.8513299226760864","0.8504139184951782","0.8504139184951782","0.8504139184951782","0.850500762462616","0.850500762462616","0.850500762462616","0.8503322601318359","0.8503322601318359","0.8503322601318359","0.8502726554870605","0.8502726554870605","0.8502726554870605"
"2200","0.8520857095718384","0.8520857095718384","0.8520857095718384","0.8534446358680725","0.8534446358680725","0.8534446358680725","0.8513961434364319","0.8513961434364319","0.8513961434364319","0.8503803014755249","0.8503803014755249","0.8503803014755249","0.8505203127861023","0.8505203127861023","0.8505203127861023","0.8503403663635254","0.8503403663635254","0.8503403663635254","0.8502739667892456","0.8502739667892456","0.8502739667892456"
"2300","0.8523948192596436","0.8523948192596436","0.8523948192596436","0.8538572788238525","0.8538572788238525","0.8538572788238525","0.8514071702957153","0.8514071702957153","0.8514071702957153","0.8503532409667969","0.8503532409667969","0.8503532409667969","0.8505216836929321","0.8505216836929321","0.8505216836929321","0.8503488302230835","0.8503488302230835","0.8503488302230835","0.8502759337425232","0.8502759337425232","0.8502759337425232"
"2400","0.852629542350769","0.852629542350769","0.852629542350769","0.8542729616165161","0.8542729616165161","0.8542729616165161","0.8514714241027832","0.8514714241027832","0.8514714241027832","0.8502976894378662","0.8502976894378662","0.8502976894378662","0.8505300283432007","0.8505300283432007","0.8505300283432007","0.8503551483154297","0.8503551483154297","0.8503551483154297","0.8502779006958008","0.8502779006958008","0.8502779006958008"
"2500","0.8526979684829712","0.8526979684829712","0.8526979684829712","0.854468584060669","0.854468584060669","0.854468584060669","0.8515400886535645","0.8515400886535645","0.8515400886535645","0.8502302169799805","0.8502302169799805","0.8502302169799805","0.8505110144615173","0.8505110144615173","0.8505110144615173","0.8503565788269043","0.8503565788269043","0.8503565788269043","0.8502787351608276","0.8502787351608276","0.8502787351608276"
"2600","0.8529077172279358","0.8529077172279358","0.8529077172279358","0.8546008467674255","0.8546008467674255","0.8546008467674255","0.8515937328338623","0.8515937328338623","0.8515937328338623","0.8501709699630737","0.8501709699630737","0.8501709699630737","0.8504876494407654","0.8504876494407654","0.8504876494407654","0.8503755927085876","0.8503755927085876","0.8503755927085876","0.8502783179283142","0.8502783179283142","0.8502783179283142"
"2700","0.8530671000480652","0.8530671000480652","0.8530671000480652","0.8546200394630432","0.8546200394630432","0.8546200394630432","0.8516760468482971","0.8516760468482971","0.8516760468482971","0.8500932455062866","0.8500932455062866","0.8500932455062866","0.8504419326782227","0.8504419326782227","0.8504419326782227","0.8503813743591309","0.8503813743591309","0.8503813743591309","0.8502785563468933","0.8502785563468933","0.8502785563468933"
"2800","0.853212296962738","0.853212296962738","0.853212296962738","0.8545622229576111","0.8545622229576111","0.8545622229576111","0.8518569469451904","0.8518569469451904","0.8518569469451904","0.8501169681549072","0.8501169681549072","0.8501169681549072","0.8504201173782349","0.8504201173782349","0.8504201173782349","0.8503895998001099","0.8503895998001099","0.8503895998001099","0.8502786755561829","0.8502786755561829","0.8502786755561829"
"2900","0.8533423542976379","0.8533423542976379","0.8533423542976379","0.854430079460144","0.854430079460144","0.854430079460144","0.8519479036331177","0.8519479036331177","0.8519479036331177","0.8501471281051636","0.8501471281051636","0.8501471281051636","0.8503782749176025","0.8503782749176025","0.8503782749176025","0.8504122495651245","0.8504122495651245","0.8504122495651245","0.8502770066261292","0.8502770066261292","0.8502770066261292"
"3000","0.853606104850769","0.853606104850769","0.853606104850769","0.8545119166374207","0.8545119166374207","0.8545119166374207","0.8520634174346924","0.8520634174346924","0.8520634174346924","0.8501708507537842","0.8501708507537842","0.8501708507537842","0.850293755531311","0.850293755531311","0.850293755531311","0.8504215478897095","0.8504215478897095","0.8504215478897095","0.8502757549285889","0.8502757549285889","0.8502757549285889"
"3100","0.8538556098937988","0.8538556098937988","0.8538556098937988","0.854812741279602","0.854812741279602","0.854812741279602","0.8521891832351685","0.8521891832351685","0.8521891832351685","0.8502131700515747","0.8502131700515747","0.8502131700515747","0.8502545356750488","0.8502545356750488","0.8502545356750488","0.8504540324211121","0.8504540324211121","0.8504540324211121","0.8502769470214844","0.8502769470214844","0.8502769470214844"
"3200","0.8542043566703796","0.8542043566703796","0.8542043566703796","0.8551409244537354","0.8551409244537354","0.8551409244537354","0.8522274494171143","0.8522274494171143","0.8522274494171143","0.850317656993866","0.850317656993866","0.850317656993866","0.8501987457275391","0.8501987457275391","0.8501987457275391","0.8504469394683838","0.8504469394683838","0.8504469394683838","0.8502795696258545","0.8502795696258545","0.8502795696258545"
"3300","0.854485273361206","0.854485273361206","0.854485273361206","0.8554593324661255","0.8554593324661255","0.8554593324661255","0.8522474765777588","0.8522474765777588","0.8522474765777588","0.8503754138946533","0.8503754138946533","0.8503754138946533","0.8501138687133789","0.8501138687133789","0.8501138687133789","0.8504663705825806","0.8504663705825806","0.8504663705825806","0.8502808809280396","0.8502808809280396","0.8502808809280396"
"3400","0.8548085689544678","0.8548085689544678","0.8548085689544678","0.8556709885597229","0.8556709885597229","0.8556709885597229","0.8522025346755981","0.8522025346755981","0.8522025346755981","0.8503341674804688","0.8503341674804688","0.8503341674804688","0.850021243095398","0.850021243095398","0.850021243095398","0.8504593372344971","0.8504593372344971","0.8504593372344971","0.8502827882766724","0.8502827882766724","0.8502827882766724"
"3500","0.8550961017608643","0.8550961017608643","0.8550961017608643","0.8557646870613098","0.8557646870613098","0.8557646870613098","0.8522325754165649","0.8522325754165649","0.8522325754165649","0.8502915501594543","0.8502915501594543","0.8502915501594543","0.8499741554260254","0.8499741554260254","0.8499741554260254","0.85047447681427","0.85047447681427","0.85047447681427","0.850284218788147","0.850284218788147","0.850284218788147"
"3600","0.8554784655570984","0.8554784655570984","0.8554784655570984","0.856174886226654","0.856174886226654","0.856174886226654","0.8521568775177002","0.8521568775177002","0.8521568775177002","0.8501840829849243","0.8501840829849243","0.8501840829849243","0.8498539924621582","0.8498539924621582","0.8498539924621582","0.8504787683486938","0.8504787683486938","0.8504787683486938","0.8502870202064514","0.8502870202064514","0.8502870202064514"
"3700","0.8557056784629822","0.8557056784629822","0.8557056784629822","0.8565286993980408","0.8565286993980408","0.8565286993980408","0.8521092534065247","0.8521092534065247","0.8521092534065247","0.8500547409057617","0.8500547409057617","0.8500547409057617","0.8497685194015503","0.8497685194015503","0.8497685194015503","0.8504983186721802","0.8504983186721802","0.8504983186721802","0.850287675857544","0.850287675857544","0.850287675857544"
"3800","0.855924129486084","0.855924129486084","0.855924129486084","0.8568333387374878","0.8568333387374878","0.8568333387374878","0.8520761132240295","0.8520761132240295","0.8520761132240295","0.8499932289123535","0.8499932289123535","0.8499932289123535","0.8496928215026855","0.8496928215026855","0.8496928215026855","0.8505038022994995","0.8505038022994995","0.8505038022994995","0.8502866625785828","0.8502866625785828","0.8502866625785828"
"3900","0.8561726808547974","0.8561726808547974","0.8561726808547974","0.8571492433547974","0.8571492433547974","0.8571492433547974","0.8520466089248657","0.8520466089248657","0.8520466089248657","0.8499247431755066","0.8499247431755066","0.8499247431755066","0.8496449589729309","0.8496449589729309","0.8496449589729309","0.8505088686943054","0.8505088686943054","0.8505088686943054","0.8502873182296753","0.8502873182296753","0.8502873182296753"
"4000","0.8564128279685974","0.8564128279685974","0.8564128279685974","0.8572071194648743","0.8572071194648743","0.8572071194648743","0.8518952131271362","0.8518952131271362","0.8518952131271362","0.8498168587684631","0.8498168587684631","0.8498168587684631","0.849570631980896","0.849570631980896","0.849570631980896","0.8505054712295532","0.8505054712295532","0.8505054712295532","0.8502889275550842","0.8502889275550842","0.8502889275550842"
"4100","0.8568220138549805","0.8568220138549805","0.8568220138549805","0.8574213981628418","0.8574213981628418","0.8574213981628418","0.8518170118331909","0.8518170118331909","0.8518170118331909","0.8498830795288086","0.8498830795288086","0.8498830795288086","0.8495622873306274","0.8495622873306274","0.8495622873306274","0.8505244851112366","0.8505244851112366","0.8505244851112366","0.8502909541130066","0.8502909541130066","0.8502909541130066"
"4200","0.8571407794952393","0.8571407794952393","0.8571407794952393","0.857549786567688","0.857549786567688","0.857549786567688","0.8517935276031494","0.8517935276031494","0.8517935276031494","0.8499673008918762","0.8499673008918762","0.8499673008918762","0.8494937419891357","0.8494937419891357","0.8494937419891357","0.850529670715332","0.850529670715332","0.850529670715332","0.8502901792526245","0.8502901792526245","0.8502901792526245"
"4300","0.8573232293128967","0.8573232293128967","0.8573232293128967","0.8576914072036743","0.8576914072036743","0.8576914072036743","0.8518155813217163","0.8518155813217163","0.8518155813217163","0.850020170211792","0.850020170211792","0.850020170211792","0.8494290709495544","0.8494290709495544","0.8494290709495544","0.8505001068115234","0.8505001068115234","0.8505001068115234","0.8502881526947021","0.8502881526947021","0.8502881526947021"
"4400","0.8574568629264832","0.8574568629264832","0.8574568629264832","0.857719898223877","0.857719898223877","0.857719898223877","0.8517885208129883","0.8517885208129883","0.8517885208129883","0.8500601053237915","0.8500601053237915","0.8500601053237915","0.8494091033935547","0.8494091033935547","0.8494091033935547","0.8504770398139954","0.8504770398139954","0.8504770398139954","0.8502918481826782","0.8502918481826782","0.8502918481826782"
"4500","0.857647180557251","0.857647180557251","0.857647180557251","0.8578846454620361","0.8578846454620361","0.8578846454620361","0.8516858816146851","0.8516858816146851","0.8516858816146851","0.8500561714172363","0.8500561714172363","0.8500561714172363","0.8494094610214233","0.8494094610214233","0.8494094610214233","0.8504058718681335","0.8504058718681335","0.8504058718681335","0.8502935767173767","0.8502935767173767","0.8502935767173767"
"4600","0.8576326966285706","0.8576326966285706","0.8576326966285706","0.8578775525093079","0.8578775525093079","0.8578775525093079","0.8515526056289673","0.8515526056289673","0.8515526056289673","0.8499348759651184","0.8499348759651184","0.8499348759651184","0.8493925333023071","0.8493925333023071","0.8493925333023071","0.8503915071487427","0.8503915071487427","0.8503915071487427","0.8502943515777588","0.8502943515777588","0.8502943515777588"
"4700","0.8576500415802002","0.8576500415802002","0.8576500415802002","0.8579251766204834","0.8579251766204834","0.8579251766204834","0.8514660596847534","0.8514660596847534","0.8514660596847534","0.8498724699020386","0.8498724699020386","0.8498724699020386","0.8493376970291138","0.8493376970291138","0.8493376970291138","0.8503297567367554","0.8503297567367554","0.8503297567367554","0.8502942323684692","0.8502942323684692","0.8502942323684692"
"4800","0.8576500415802002","0.8576500415802002","0.8576500415802002","0.8579286932945251","0.8579286932945251","0.8579286932945251","0.8514310121536255","0.8514310121536255","0.8514310121536255","0.8498439192771912","0.8498439192771912","0.8498439192771912","0.8493046760559082","0.8493046760559082","0.8493046760559082","0.8502682447433472","0.8502682447433472","0.8502682447433472","0.8502954840660095","0.8502954840660095","0.8502954840660095"
"4900","0.8576500415802002","0.8576500415802002","0.8576500415802002","0.8579496145248413","0.8579496145248413","0.8579496145248413","0.8514336347579956","0.8514336347579956","0.8514336347579956","0.8498185873031616","0.8498185873031616","0.8498185873031616","0.8492543697357178","0.8492543697357178","0.8492543697357178","0.8502132892608643","0.8502132892608643","0.8502132892608643","0.8502963781356812","0.8502963781356812","0.8502963781356812"
