"Step","1873380_2 - similarity_cb0_min","1873380_2 - similarity_cb0_min__MIN","1873380_2 - similarity_cb0_min__MAX","4395274 - similarity_cb0_min","4395274 - similarity_cb0_min__MIN","4395274 - similarity_cb0_min__MAX","1940028_1 - similarity_cb0_min","1940028_1 - similarity_cb0_min__MIN","1940028_1 - similarity_cb0_min__MAX","4520555_1 - similarity_cb0_min","4520555_1 - similarity_cb0_min__MIN","4520555_1 - similarity_cb0_min__MAX","2536305_1 - similarity_cb0_min","2536305_1 - similarity_cb0_min__MIN","2536305_1 - similarity_cb0_min__MAX","2536333_1 - similarity_cb0_min","2536333_1 - similarity_cb0_min__MIN","2536333_1 - similarity_cb0_min__MAX","1940035_0 - similarity_cb0_min","1940035_0 - similarity_cb0_min__MIN","1940035_0 - similarity_cb0_min__MAX"
"100","0.6202735900878906","0.6202735900878906","0.6202735900878906","0.6202714443206787","0.6202714443206787","0.6202714443206787","0.6202420592308044","0.6202420592308044","0.6202420592308044","0.6202288866043091","0.6202288866043091","0.6202288866043091","0.6202210187911987","0.6202210187911987","0.6202210187911987","0.6202142238616943","0.6202142238616943","0.6202142238616943","0.6202044486999512","0.6202044486999512","0.6202044486999512"
"200","0.6203034520149231","0.6203034520149231","0.6203034520149231","0.6203137636184692","0.6203137636184692","0.6203137636184692","0.6202595233917236","0.6202595233917236","0.6202595233917236","0.6202392578125","0.6202392578125","0.6202392578125","0.6202278137207031","0.6202278137207031","0.6202278137207031","0.6202188730239868","0.6202188730239868","0.6202188730239868","0.6202070713043213","0.6202070713043213","0.6202070713043213"
"300","0.6203434467315674","0.6203434467315674","0.6203434467315674","0.6203441619873047","0.6203441619873047","0.6203441619873047","0.620281457901001","0.620281457901001","0.620281457901001","0.6202521324157715","0.6202521324157715","0.6202521324157715","0.6202342510223389","0.6202342510223389","0.6202342510223389","0.6202221512794495","0.6202221512794495","0.6202221512794495","0.6202093958854675","0.6202093958854675","0.6202093958854675"
"400","0.620368480682373","0.620368480682373","0.620368480682373","0.6203998923301697","0.6203998923301697","0.6203998923301697","0.6203006505966187","0.6203006505966187","0.6203006505966187","0.6202650666236877","0.6202650666236877","0.6202650666236877","0.6202387809753418","0.6202387809753418","0.6202387809753418","0.6202250719070435","0.6202250719070435","0.6202250719070435","0.6202111840248108","0.6202111840248108","0.6202111840248108"
"500","0.6204805374145508","0.6204805374145508","0.6204805374145508","0.6205421686172485","0.6205421686172485","0.6205421686172485","0.6203466057777405","0.6203466057777405","0.6203466057777405","0.6202689409255981","0.6202689409255981","0.6202689409255981","0.6202480792999268","0.6202480792999268","0.6202480792999268","0.6202327013015747","0.6202327013015747","0.6202327013015747","0.6202123165130615","0.6202123165130615","0.6202123165130615"
"600","0.6206434965133667","0.6206434965133667","0.6206434965133667","0.6207669377326965","0.6207669377326965","0.6207669377326965","0.6204046607017517","0.6204046607017517","0.6204046607017517","0.6202854514122009","0.6202854514122009","0.6202854514122009","0.6202585697174072","0.6202585697174072","0.6202585697174072","0.620236337184906","0.620236337184906","0.620236337184906","0.6202142238616943","0.6202142238616943","0.6202142238616943"
"700","0.6208670139312744","0.6208670139312744","0.6208670139312744","0.6210408210754395","0.6210408210754395","0.6210408210754395","0.6204679608345032","0.6204679608345032","0.6204679608345032","0.6203072667121887","0.6203072667121887","0.6203072667121887","0.6202694773674011","0.6202694773674011","0.6202694773674011","0.6202362775802612","0.6202362775802612","0.6202362775802612","0.6202166080474854","0.6202166080474854","0.6202166080474854"
"800","0.6211109161376953","0.6211109161376953","0.6211109161376953","0.6213096380233765","0.6213096380233765","0.6213096380233765","0.6205450296401978","0.6205450296401978","0.6205450296401978","0.6203467845916748","0.6203467845916748","0.6203467845916748","0.6202825307846069","0.6202825307846069","0.6202825307846069","0.6202331781387329","0.6202331781387329","0.6202331781387329","0.6202174425125122","0.6202174425125122","0.6202174425125122"
"900","0.6214232444763184","0.6214232444763184","0.6214232444763184","0.6211386919021606","0.6211386919021606","0.6211386919021606","0.6206679344177246","0.6206679344177246","0.6206679344177246","0.620388925075531","0.620388925075531","0.620388925075531","0.6202958226203918","0.6202958226203918","0.6202958226203918","0.6202355623245239","0.6202355623245239","0.6202355623245239","0.6202192902565002","0.6202192902565002","0.6202192902565002"
"1000","0.6212916374206543","0.6212916374206543","0.6212916374206543","0.6205819845199585","0.6205819845199585","0.6205819845199585","0.6208263635635376","0.6208263635635376","0.6208263635635376","0.620434045791626","0.620434045791626","0.620434045791626","0.6203173398971558","0.6203173398971558","0.6203173398971558","0.6202465891838074","0.6202465891838074","0.6202465891838074","0.6202205419540405","0.6202205419540405","0.6202205419540405"
"1100","0.6211085319519043","0.6211085319519043","0.6211085319519043","0.6200973987579346","0.6200973987579346","0.6200973987579346","0.6210026144981384","0.6210026144981384","0.6210026144981384","0.620488166809082","0.620488166809082","0.620488166809082","0.6203488111495972","0.6203488111495972","0.6203488111495972","0.6202597618103027","0.6202597618103027","0.6202597618103027","0.6202219724655151","0.6202219724655151","0.6202219724655151"
"1200","0.6205698251724243","0.6205698251724243","0.6205698251724243","0.6194292306900024","0.6194292306900024","0.6194292306900024","0.6212285161018372","0.6212285161018372","0.6212285161018372","0.620573878288269","0.620573878288269","0.620573878288269","0.6203662157058716","0.6203662157058716","0.6203662157058716","0.6202681064605713","0.6202681064605713","0.6202681064605713","0.6202226877212524","0.6202226877212524","0.6202226877212524"
