num_gpus,batch size in sec,batch size label,hours seen,wer clean,wer other,ft_dataset
0gpu,87.5,87.5 sec,1215.2777777777778,1.033228088861838,1.025371109795006,10 minutes of labels
0gpu,87.5,87.5 sec,2430.5555555555557,1.0135803408399269,1.013640792465086,10 minutes of labels
0gpu,87.5,87.5 sec,3645.8333333333335,1.0162051125989044,1.0160479911353957,10 minutes of labels
0gpu,87.5,87.5 sec,4861.111111111111,1.013523280584297,1.0136025829623827,10 minutes of labels
0gpu,87.5,87.5 sec,6076.388888888889,1.005097382836275,1.007049653248763,10 minutes of labels
0gpu,87.5,87.5 sec,7291.666666666667,1.0160339318320146,1.0173280094759567,10 minutes of labels
0gpu,87.5,87.5 sec,8506.944444444445,1.009395922093731,1.0150354393137573,10 minutes of labels
0gpu,87.5,87.5 sec,9722.222222222223,1.0128385575167376,1.0143858777678008,10 minutes of labels
1gpu,150.0,150 sec,2083.3333333333335,1.0285871880706026,1.031178954205911,10 minutes of labels
1gpu,150.0,150 sec,4166.666666666667,0.991612142422398,1.0133351164434594,10 minutes of labels
1gpu,150.0,150 sec,6250.0,0.9488549908703592,0.9770360888753032,10 minutes of labels
1gpu,150.0,150 sec,8333.333333333334,0.8870587340231284,0.943163364728808,10 minutes of labels
1gpu,150.0,150 sec,10416.666666666666,0.8392232197200243,0.914754599468888,10 minutes of labels
1gpu,150.0,150 sec,12500.0,0.808277541083384,0.8828496647116137,10 minutes of labels
1gpu,150.0,150 sec,14583.333333333334,0.7466334449178332,0.8474676652083373,10 minutes of labels
1gpu,150.0,150 sec,16666.666666666668,0.7200243457090688,0.8214660986187264,10 minutes of labels
2gpu,300.0,5 min,4166.666666666667,0.985506695069994,1.0004011997783848,10 minutes of labels
2gpu,300.0,5 min,8333.333333333334,0.9022557821059038,0.9528876831668036,10 minutes of labels
2gpu,300.0,5 min,12500.0,0.8116821363359707,0.8971209139713047,10 minutes of labels
2gpu,300.0,5 min,16666.666666666668,0.7363055386488131,0.8353934623540875,10 minutes of labels
2gpu,300.0,5 min,20833.333333333332,0.6908285149117468,0.7950251227480274,10 minutes of labels
2gpu,300.0,5 min,25000.0,0.6440391052951917,0.7536442313203293,10 minutes of labels
2gpu,300.0,5 min,29166.666666666668,0.6246195982958004,0.7314445102496991,10 minutes of labels
2gpu,300.0,5 min,33333.333333333336,0.6096127510651248,0.7060925052060447,10 minutes of labels
4gpu,600.0,10 min,8333.333333333334,0.8835400182592819,0.9395716714746958,10 minutes of labels
4gpu,600.0,10 min,16666.666666666668,0.7316646378575776,0.8401314406892995,10 minutes of labels
4gpu,600.0,10 min,25000.0,0.6372679549604382,0.7455247119958733,10 minutes of labels
4gpu,600.0,10 min,33333.333333333336,0.5899650030432136,0.6944003973788281,10 minutes of labels
4gpu,600.0,10 min,41666.666666666664,0.563565124771759,0.6678830025027225,10 minutes of labels
4gpu,600.0,10 min,50000.0,0.5331520085209982,0.6329786217832375,10 minutes of labels
4gpu,600.0,10 min,58333.333333333336,0.5217779975654291,0.6150583650153794,10 minutes of labels
4gpu,600.0,10 min,66666.66666666667,0.5071325319537432,0.6004814397340619,10 minutes of labels
8gpu,1200.0,20 min,16666.666666666668,0.7294963481436397,0.8312286265594253,10 minutes of labels
8gpu,1200.0,20 min,33333.333333333336,0.5975730371272063,0.701392736373536,10 minutes of labels
8gpu,1200.0,20 min,50000.0,0.5403796409007913,0.6390539327130658,10 minutes of labels
8gpu,1200.0,20 min,66666.66666666667,0.5163762933657943,0.6063848079017251,10 minutes of labels
8gpu,1200.0,20 min,83333.33333333333,0.4951688983566646,0.5782626139120799,10 minutes of labels
8gpu,1200.0,20 min,100000.0,0.48611533779671334,0.5650803354794337,10 minutes of labels
8gpu,1200.0,20 min,116666.66666666667,0.46871195982958,0.5482490495386203,10 minutes of labels
8gpu,1200.0,20 min,133333.33333333334,0.47432288496652464,0.5471218692088723,10 minutes of labels
16gpu,2400.0,40 min,33333.333333333336,0.5369560255629945,0.6352329824427335,10 minutes of labels
16gpu,2400.0,40 min,66666.66666666667,0.5080264759586123,0.5874137898095256,10 minutes of labels
16gpu,2400.0,40 min,100000.0,0.4804473524041388,0.5540568939495253,10 minutes of labels
16gpu,2400.0,40 min,133333.33333333334,0.48056147291539864,0.5566169306306479,10 minutes of labels
16gpu,2400.0,40 min,166666.66666666666,0.46534540474741326,0.5376841220411517,10 minutes of labels
16gpu,2400.0,40 min,200000.0,0.463538496652465,0.5342452667978527,10 minutes of labels
16gpu,2400.0,40 min,233333.33333333334,0.45507455873402314,0.52604932846799,10 minutes of labels
16gpu,2400.0,40 min,266666.6666666667,0.45566418137553255,0.5250176718950003,10 minutes of labels
32gpu,4800.0,80 min,66666.66666666667,0.5126103164942178,0.6042068662476358,10 minutes of labels
32gpu,4800.0,80 min,133333.33333333334,0.4539904138770542,0.5345509428194792,10 minutes of labels
32gpu,4800.0,80 min,200000.0,0.4284464394400487,0.5120264409758707,10 minutes of labels
32gpu,4800.0,80 min,266666.6666666667,0.42399573950091296,0.5033910933649198,10 minutes of labels
32gpu,4800.0,80 min,333333.3333333333,0.42633520998174074,0.5143954301434767,10 minutes of labels
32gpu,4800.0,80 min,400000.0,0.4181375532562386,0.5019582370135452,10 minutes of labels
32gpu,4800.0,80 min,466666.6666666667,0.4314516129032258,0.517929809143534,10 minutes of labels
32gpu,4800.0,80 min,533333.3333333334,0.42981588557516737,0.50868310948933,10 minutes of labels
0gpu,87.5,87.5 sec,1215.2777777777778,0.6509053560559951,0.8308083220296888,100 hours of labels
0gpu,87.5,87.5 sec,2430.5555555555557,0.6622223067559343,0.8360430239000439,100 hours of labels
0gpu,87.5,87.5 sec,3645.8333333333335,0.6286898965307365,0.8155818352024149,100 hours of labels
0gpu,87.5,87.5 sec,4861.111111111111,0.6242962568472307,0.8197657757484287,100 hours of labels
0gpu,87.5,87.5 sec,6076.388888888889,0.5821477480219112,0.7928662858452897,100 hours of labels
0gpu,87.5,87.5 sec,7291.666666666667,0.5148166463785758,0.7511224041419101,100 hours of labels
0gpu,87.5,87.5 sec,8506.944444444445,0.47352404138770543,0.7241655999847162,100 hours of labels
0gpu,87.5,87.5 sec,9722.222222222223,0.4469910225197809,0.7037235160384387,100 hours of labels
1gpu,150.0,150 sec,2083.3333333333335,0.3716905051734632,0.6488737749078196,100 hours of labels
1gpu,150.0,150 sec,4166.666666666667,0.297930614729154,0.5751676441931108,100 hours of labels
1gpu,150.0,150 sec,6250.0,0.2554397443700548,0.5337676480140611,100 hours of labels
1gpu,150.0,150 sec,8333.333333333334,0.2298006695069994,0.5030663125919416,100 hours of labels
1gpu,150.0,150 sec,10416.666666666666,0.20568320146074257,0.47353036700227347,100 hours of labels
1gpu,150.0,150 sec,12500.0,0.19225502130249544,0.4476816384234759,100 hours of labels
1gpu,150.0,150 sec,14583.333333333334,0.1756314668289714,0.424221003763636,100 hours of labels
1gpu,150.0,150 sec,16666.666666666668,0.16492315885575168,0.4017538161740825,100 hours of labels
2gpu,300.0,5 min,4166.666666666667,0.30247641509433965,0.581414897885104,100 hours of labels
2gpu,300.0,5 min,8333.333333333334,0.2297816494217894,0.5056645587757675,100 hours of labels
2gpu,300.0,5 min,12500.0,0.192711503347535,0.4524960357640946,100 hours of labels
2gpu,300.0,5 min,16666.666666666668,0.16707242848447962,0.4117264963796496,100 hours of labels
2gpu,300.0,5 min,20833.333333333332,0.15358718807060256,0.38050933267103526,100 hours of labels
2gpu,300.0,5 min,25000.0,0.1420800365185636,0.355100013373326,100 hours of labels
2gpu,300.0,5 min,29166.666666666668,0.1316760499087036,0.33433314865407027,100 hours of labels
2gpu,300.0,5 min,33333.333333333336,0.12243228849665248,0.3149036165294309,100 hours of labels
4gpu,600.0,10 min,8333.333333333334,0.22348600121728543,0.4955963548134421,100 hours of labels
4gpu,600.0,10 min,16666.666666666668,0.16830873402312843,0.40630074699577784,100 hours of labels
4gpu,600.0,10 min,25000.0,0.1396835057821059,0.35496628011386433,100 hours of labels
4gpu,600.0,10 min,33333.333333333336,0.1245815581253804,0.3138528552050895,100 hours of labels
4gpu,600.0,10 min,41666.666666666664,0.11113435788192332,0.28068700685860576,100 hours of labels
4gpu,600.0,10 min,50000.0,0.10206177723676202,0.2599392468907017,100 hours of labels
4gpu,600.0,10 min,58333.333333333336,0.095842209373098,0.24503754083640605,100 hours of labels
4gpu,600.0,10 min,66666.66666666667,0.09066874619598296,0.23061345356590185,100 hours of labels
8gpu,1200.0,20 min,16666.666666666668,0.1688603164942179,0.41094320157423153,100 hours of labels
8gpu,1200.0,20 min,33333.333333333336,0.12296485088253196,0.312190741837495,100 hours of labels
8gpu,1200.0,20 min,50000.0,0.10474360925136944,0.2654605200313318,100 hours of labels
8gpu,1200.0,20 min,66666.66666666667,0.09279899573950091,0.23965000095523756,100 hours of labels
8gpu,1200.0,20 min,83333.33333333333,0.08526704199634814,0.2189213457386852,100 hours of labels
8gpu,1200.0,20 min,100000.0,0.0809304625684723,0.20753491393309517,100 hours of labels
8gpu,1200.0,20 min,116666.66666666667,0.07647976262933658,0.19761954798158304,100 hours of labels
8gpu,1200.0,20 min,133333.33333333334,0.07400715155203895,0.19043616147335843,100 hours of labels
16gpu,2400.0,40 min,33333.333333333336,0.10940353012781497,0.27526125747473396,100 hours of labels
16gpu,2400.0,40 min,66666.66666666667,0.08631314668289713,0.21261677779263705,100 hours of labels
16gpu,2400.0,40 min,100000.0,0.07627054169202678,0.1866916302084328,100 hours of labels
16gpu,2400.0,40 min,133333.33333333334,0.07107805842970176,0.17247769520279693,100 hours of labels
16gpu,2400.0,40 min,166666.66666666666,0.06793974437005477,0.1646256423972642,100 hours of labels
16gpu,2400.0,40 min,200000.0,0.06582851491174681,0.1574040463863363,100 hours of labels
16gpu,2400.0,40 min,233333.33333333334,0.06402160681679854,0.1518445637430029,100 hours of labels
16gpu,2400.0,40 min,266666.6666666667,0.06255706025562995,0.15104216418623312,100 hours of labels
32gpu,4800.0,80 min,66666.66666666667,0.09289409616555082,0.2319698909118698,100 hours of labels
32gpu,4800.0,80 min,133333.33333333334,0.07309418746195984,0.18319546071107884,100 hours of labels
32gpu,4800.0,80 min,200000.0,0.06575243457090688,0.16697552681351852,100 hours of labels
32gpu,4800.0,80 min,266666.6666666667,0.06274726110772977,0.15845480771067766,100 hours of labels
32gpu,4800.0,80 min,333333.3333333333,0.061016433353621426,0.1564105993160499,100 hours of labels
32gpu,4800.0,80 min,400000.0,0.05919050517346318,0.1569455323538964,100 hours of labels
32gpu,4800.0,80 min,466666.6666666667,0.0595899269628728,0.15755688439714957,100 hours of labels
32gpu,4800.0,80 min,533333.3333333334,0.05964698721850274,0.1568500085971381,100 hours of labels
