batch size,lm,ft_dataset,eval_dataset,value
8gpu,false,ls10m,test-other,0.546701564679136
scratch,false,ls10m,dev-clean,1.25030329767288
scratch,false,ls10m,dev-other,1.27096255005103
scratch,false,ls10m,test-clean,1.29448797930615
scratch,false,ls10m,test-other,1.29467168484802
0gpu,true,ls10m,dev-clean,0.722969770431519
0gpu,true,ls10m,dev-other,0.814477503299713
0gpu,true,ls10m,test-clean,0.726719439029694
0gpu,true,ls10m,test-other,0.82135146856308
16gpu,true,ls10m,dev-clean,0.261810227565163
16gpu,true,ls10m,dev-other,0.348492580670488
16gpu,true,ls10m,test-clean,0.268886944613512
16gpu,true,ls10m,test-other,0.343522534054219
1gpu,true,ls10m,dev-clean,0.532535568545274
1gpu,true,ls10m,dev-other,0.667523749705582
1gpu,true,ls10m,test-clean,0.544430919050517
1gpu,true,ls10m,test-other,0.682555451540798
2gpu,true,ls10m,dev-clean,0.404599095621485
2gpu,true,ls10m,dev-other,0.524083379131664
2gpu,true,ls10m,test-clean,0.409559494826537
2gpu,true,ls10m,test-other,0.535315132873546
32gpu,true,ls10m,dev-clean,0.244807176206757
32gpu,true,ls10m,dev-other,0.347864489283191
32gpu,true,ls10m,test-clean,0.243780432136336
32gpu,true,ls10m,test-other,0.344668819135319
4gpu,true,ls10m,dev-clean,0.314234770780486
4gpu,true,ls10m,dev-other,0.417033053309256
4gpu,true,ls10m,test-clean,0.320583536214242
4gpu,true,ls10m,test-other,0.42322755669335
8gpu,true,ls10m,dev-clean,0.266883570456968
8gpu,true,ls10m,dev-other,0.359523435659889
8gpu,true,ls10m,test-clean,0.272957242848448
8gpu,true,ls10m,test-other,0.359551420438263
scratch,true,ls10m,dev-clean,1.08931656924378
scratch,true,ls10m,dev-other,1.10920938996624
scratch,true,ls10m,test-clean,1.11172398052343
scratch,true,ls10m,test-other,1.11953842920734
0gpu,false,ls1h,dev-clean,0.7083
0gpu,false,ls1h,dev-other,0.81695
0gpu,false,ls1h,test-clean,0.70498
0gpu,false,ls1h,test-other,0.8349
16gpu,false,ls1h,dev-clean,0.230598139774273
16gpu,false,ls1h,dev-other,0.314752296459135
16gpu,false,ls1h,test-clean,0.232558581862447
16gpu,false,ls1h,test-other,0.317482757961905
1gpu,false,ls1h,dev-clean,0.528748943053564
1gpu,false,ls1h,dev-other,0.669898720263798
1gpu,false,ls1h,test-clean,0.532752586731589
1gpu,false,ls1h,test-other,0.683701736621898
2gpu,false,ls1h,dev-clean,0.390224624094702
2gpu,false,ls1h,dev-other,0.522159849258067
2gpu,false,ls1h,test-clean,0.390368228849665
2gpu,false,ls1h,test-other,0.535716332651931
32gpu,false,ls1h,dev-clean,0.212731149590089
32gpu,false,ls1h,dev-other,0.312357698045066
32gpu,false,ls1h,test-clean,0.219358642726719
32gpu,false,ls1h,test-other,0.312974036642913
4gpu,false,ls1h,dev-clean,0.288739384581449
4gpu,false,ls1h,dev-other,0.40252806783387
4gpu,false,ls1h,test-clean,0.288325471698113
4gpu,false,ls1h,test-other,0.414706837590509
8gpu,false,ls1h,dev-clean,0.247509282746958
8gpu,false,ls1h,dev-other,0.346235377247389
8gpu,false,ls1h,test-clean,0.251198265368229
8gpu,false,ls1h,test-other,0.352253405421928
scratch,false,ls1h,dev-clean,1.04156097202309
scratch,false,ls1h,dev-other,1.04961921959645
scratch,false,ls1h,test-clean,1.06679853925746
scratch,false,ls1h,test-other,1.04758993561699
0gpu,true,ls1h,dev-clean,0.522131562232971
0gpu,true,ls1h,dev-other,0.683834493160248
0gpu,true,ls1h,test-clean,0.519305408000946
0gpu,true,ls1h,test-other,0.705805957317352
16gpu,true,ls1h,dev-clean,0.116815558251535
16gpu,true,ls1h,dev-other,0.190115411792416
16gpu,true,ls1h,test-clean,0.119046713329276
16gpu,true,ls1h,test-other,0.195193244559922
1gpu,true,ls1h,dev-clean,0.335097974339179
1gpu,true,ls1h,dev-other,0.500981392792651
1gpu,true,ls1h,test-clean,0.340003043213634
1gpu,true,ls1h,test-other,0.51995491278681
2gpu,true,ls1h,dev-clean,0.223429285688026
2gpu,true,ls1h,dev-other,0.36005338776792
2gpu,true,ls1h,test-clean,0.223124619598296
2gpu,true,ls1h,test-other,0.37112889975737
32gpu,true,ls1h,dev-clean,0.114352413514209
32gpu,true,ls1h,dev-other,0.203776399466122
32gpu,true,ls1h,test-clean,0.118019628727937
32gpu,true,ls1h,test-other,0.207152818906062
4gpu,true,ls1h,dev-clean,0.156005293923018
4gpu,true,ls1h,dev-other,0.262718850592761
4gpu,true,ls1h,test-clean,0.156877662811929
4gpu,true,ls1h,test-other,0.270294022123302
8gpu,true,ls1h,dev-clean,0.12828572478953
8gpu,true,ls1h,dev-other,0.218595430635157
8gpu,true,ls1h,test-clean,0.131371728545344
8gpu,true,ls1h,test-other,0.222455724738742
scratch,true,ls1h,dev-clean,0.998364030734164
scratch,true,ls1h,dev-other,1.00274789981942
scratch,true,ls1h,test-clean,1.01234403530128
scratch,true,ls1h,test-other,1.00091702806488
